from,from_area,from_elevation,from_latitude,from_longitude,to,to_area,to_elevation,to_latitude,to_longitude,distance,curvature
Finestrelles,Pirineos E (ES),2827,42.414475,2.133279,Pic Gaspard,Alpes (FR),3883,44.99811,6.33042,443,
Bastiments,Pirineos E (ES),2881,42.42612,2.233078,Doigt de Dieu,Alpes (FR),3973,45.00382,6.31445,436,
Bastiments,Pirineos E (ES),2881,42.42612,2.233078,Barre des Ecrins,Alpes (FR),4102,44.92215,6.35953,432,
Canigou,Pirineos E (FR),2784,42.518976,2.456582,Pic Gaspard,Alpes (FR),3867,44.99811,6.33042,416,
Canigou,Pirineos E (FR),2784,42.518976,2.456582,Barre des Ecrins,Alpes (FR),4102,44.92215,6.35953,412,
Canigou,Pirineos E (FR),2784,42.518976,2.456582,Grand Ferrand,Alpes (FR),2758,44.72176,5.81591,412,
Noufonts,Pirineos E (ES),2851,42.423963,2.168083,Tete de l'Estrop,Alpes (FR),2961,44.28619,6.50457,408,
Puy de la Seche,Alpes (FR),2820,44.289166,6.484417,Pic de l'Infern,Pirineos (ES),2869,42.423968,2.213939,403,
Canigou,Pirineos E (FR),2784,42.518976,2.456582,St. de la Fremma,Alpes (FR),2747,44.15174,6.69827,388,
Canigou,Pirineos E (FR),2784,42.518976,2.456582,Tete de l'Estrop,Alpes (FR),2961,44.28619,6.50457,381,
Plomb du Cantal,Massif Central (FR),1855,45.059214,2.761392,Mont Blanc,Alpes (FR),4810,45.83267,6.86512,332,
Puig d'En Galileu,Mallorca (ES),1182,39.813118,2.854171,Saloria,Pirineos (ES),2789,42.514449,1.385144,324,
Guadagnolo,Roma (IT),1181,41.913349,12.927362,Monte Renoso,Corsica (FR),2352,42.05974,9.13378,314,
Cantavieja,Maestrazgo (ES),1700,,,Bastiments,Pirineos (ES),2881,42.42612,2.233078,309,
Puig Roig,Mallorca (ES),1002,39.860695,2.860469,Tossal de la Muga,Pirineos (ES),2859,42.474849,1.67763,307,
St. Beaume,Marseille (FR),1148,43.33793,5.80167,Canigou,Pirineos (FR),2786,42.518976,2.456582,302,
Puig d'En Galileu,Mallorca (ES),1180,39.813118,2.854171,Puigmal,Pirineos E (ES),2913,42.383273,2.116799,292,
Puig Roig,Mallorca (ES),1002,39.860695,2.860469,Torreta del Cadi,Pre Pirineo (ES),2562,42.287074,1.584198,290,
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,Pic Long,Pirineos (ES),3192,42.8008,0.1002,289,
Cantavieja,Maestrazgo (ES),1700,,,Pica d'Estats,Pirineos (ES),3143,42.666945,1.3979,285,
Poqueira,Sierra Nevada (ES),2500,37.02755,-3.32359,Jebel Sougna,Atlas (MO),1582,35.115918,-5.402421,283,
Puig Roig,Mallorca (ES),1002,39.860695,2.860469,Pedraforca,Pre Pirineo (ES),2506,42.239912,1.702927,281,
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,La Munia,Pirineos (ES),3133,42.714916,0.131831,280,
Le Cengle,Marseille (FR),509,,,Canigou,Pirineos (FR),2784,42.518976,2.456582,276,
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,Monte Perdido,Pirineos (ES),3355,42.675579,0.034385,275,
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,Puig Major,Mallorca (ES),1436,39.807994,2.794239,272,
Puig de Galatzo,Mallorca (ES),1026,39.63396,2.486668,Puntal del Tamborero,Alicante (ES),1766,40.451106,-0.378889,266,
Marseille,Cote d'Azur (FR),420,43.22325,5.3718,Canigou,Pirineos (ES),2784,42.518976,2.456582,264,
Puig de Galatzo,Mallorca (ES),1026,39.63396,2.486668,Aitana,Alicante (ES),1558,38.649514,-0.266163,261,
Paglia Orba,Corsica (FR),2525,42.34312,8.87868,Mt. Toulounaiss,Cote Azur (FR),584,43.14972,5.95104,260,
Puig de Galatzo,Mallorca (ES),1026,39.63396,2.486668,Puig Campana,Alicante (ES),1406,38.597121,-0.193067,259,
Cantavieja,Maestrazgo (ES),1700,,,Perdiguero,Pirineos (ES),3222,42.691951,0.518743,256,
Cantavieja,Maestrazgo (ES),1700,,,Comaloforno,Pirineos (ES),3029,42.591364,0.827833,255,
Cantavieja,Maestrazgo (ES),1700,,,Vignemale,Pirineos (ES),3298,42.774,-0.1473,254,
Canigou,Pirineos E (FR),2786,42.518976,2.456582,Marsella,France (FR),0,,,252,
Cantavieja,Maestrazgo (ES),1700,,,Posets,Pirineos (ES),3369,42.654657,0.435213,251,
Pto. Navacerrada,S. Central (ES),1860,,,Espiguete,Cordillera Cantabrica (ES),2450,42.945,-4.796,249,
