observer_summit_id,observer_latitude,observer_longitude,observer_elevation,target_summit_id,target_latitude,target_longitude,target_elevation,distance,bearing,optimal_azimuth,sun_azimuth_offset,contrast
748465,-82.0864,159.2944,3210.92,627841,-78.2853,162.485,3695.71,426806.8781157873,9.718781969950012,9.718781969950012,0.0,0.07640248279344834
1212735,-84.9014,-170.2597,2337.48,1080359,-85.6953,-137.0,2488.42,310670.06882467144,122.3780437592916,122.3780437592916,0.0,0.16345706053893283
364939,-78.4025,-85.9783,4638.31,1527833,-81.1408,-85.4542,2074.74,304657.60875909496,178.31122472969997,178.31122472969997,0.0,0.19412997527643708
1111208,-78.86,160.7242,2449.86,2128999,-81.9836,162.2486,1733.67,348441.4596422622,176.108521291958,176.108521291958,0.0,0.10423121201818134
915253,-78.6819,160.9283,2751.68,2165249,-81.9044,161.9528,1716.95,358825.86650870135,177.4362986973954,177.4362986973954,0.0,0.09726306305494253
975905,-79.2447,159.4933,2640.71,2251918,-82.1292,163.0014,1678.87,326747.92538222583,170.59263342824653,170.59263342824653,0.0,0.12916537459406002
752782,-73.4425,-126.7508,3195.14,652837,-75.7975,-115.8133,3593.64,414402.2666921633,134.25873791679055,134.25873791679055,0.0,0.08493871261658002
5607587,-71.6594,-73.8183,824.83,861431,-69.0789,-70.8594,2869.2,307406.10165518464,22.46758527404149,22.46758527404149,0.0,0.15371286389199418
1146489,-70.6678,159.7458,2408.73,702145,-73.1581,164.6042,3389.6,323518.6908728529,151.08980530929722,151.08980530929722,0.0,0.16910147350259888
682580,-73.4211,166.3017,3471.06,604430,-77.5297,167.1667,3788.36,457479.1920217683,177.39577481429478,177.39577481429478,0.0,0.057768386824933335
548511,-78.0603,162.6883,4001.3,701911,-73.9264,163.0058,3390.58,459746.20910582715,1.2193249163777968,1.2193249163777968,0.0,0.05614601404723739
602117,-78.1875,162.54,3797.29,923748,-74.5508,162.5958,2735.01,404384.9967903589,0.23434048117764228,0.23434048117764228,0.0,0.08595690532980033
620682,-78.1603,162.4825,3723.96,928816,-74.35,164.6908,2725.1,427608.44864052586,8.915997057001743,8.915997057001743,0.0,0.06652701130812413
809999,-81.4461,158.1819,3007.03,950939,-78.3722,165.0167,2684.59,366241.1208572432,24.675967122488913,24.675967122488913,0.0,0.1115297375785656
1233325,-70.5281,-69.0492,2317.02,1319132,-67.2175,-68.1733,2236.96,369782.0255810548,5.856972718793307,5.856972718793307,0.0,0.09108567213591913
1264688,-70.2903,-69.2525,2286.57,1555960,-67.1036,-67.9933,2055.09,357957.8435330199,8.757486612974724,8.757486612974724,0.0,0.09875401846055987
1032158,-69.5825,-70.4256,2553.63,1580012,-67.1439,-67.0833,2039.18,303717.846195292,28.372444213947798,28.372444213947798,0.0,0.16509671419154054
