summitId,latitude,longitude,elevation,candidate
0,27.9892,86.9256,8737.79,True
-1,35.8817,76.5125,8613.95,True
1,35.8808,76.5125,8570.56,True
-8,28.6975,83.4925,8167.12,True
10,28.6981,83.4894,8135.91,True
-27,30.3758,79.9708,7815.99,True
37,30.3758,79.9703,7804.02,True
-31,29.6325,95.0542,7781.85,True
-56,29.5967,101.8783,7555.99,True
-85,42.035,80.1283,7438.95,True
115,29.595,101.8792,7437.52,True
128,42.0356,80.1245,7419.46,True
156,29.6392,95.0653,7354.89,True
418,36.4128,87.3831,6981.64,True
-297,36.4125,87.385,6972.91,True
-302,-32.6533,-70.0125,6961.94,True
506,-32.6533,-70.0117,6915.52,True
-372,-27.11,-68.5425,6893.05,True
556,-27.1097,-68.5414,6886.62,True
-541,-9.1208,-77.605,6768.08,True
-1146,-18.1083,-68.8833,6548.93,True
1791,-18.1083,-68.8828,6544.06,True
3073,-15.5461,-72.6603,6417.98,True
-1966,-15.5458,-72.6608,6405.07,True
4838,34.7975,99.4625,6309.25,True
-3181,34.7917,99.4675,6281.93,True
-3396,-1.4675,-78.8175,6266.99,True
5965,-1.4689,-78.8178,6262.51,True
-4041,35.6583,94.2617,6224.02,True
-4656,63.0692,-151.0067,6190.49,True
8578,63.0694,-151.0061,6179.93,True
8592,35.6525,94.2505,6179.61,True
-11775,60.5675,-140.4058,5956.1,True
24100,60.5678,-140.405,5930.7,True
-14338,-3.0767,37.3542,5895.14,True
28080,-3.0764,37.3536,5886.79,True
34193,39.2514,93.6964,5826.41,True
34965,38.5006,97.7245,5819.03,True
-18659,38.5,97.725,5807.96,True
-23139,10.8392,-73.6867,5729.94,True
50035,10.8389,-73.6861,5697.91,True
-29272,43.3542,42.4358,5641.85,True
-29682,19.0308,-97.27,5636.06,True
60481,43.3525,42.438,5632.35,True
-31725,35.9558,52.11,5610.15,True
66440,35.9544,52.1105,5598.75,True
67824,19.0303,-97.2703,5591.6,True
-47734,43.8017,88.3333,5444.95,True
-51801,6.495,-72.2967,5409.9,True
-54163,2.9233,-76.0283,5390.08,True
117802,2.9239,-76.0269,5377.59,True
128878,43.7897,88.4111,5337.77,True
129253,6.4944,-72.2975,5336.45,True
-90094,39.7033,44.2992,5137.1,True
198007,39.7022,44.2983,5111.0,True
-95011,0.3858,29.8733,5109.06,True
228179,0.3856,29.8725,5024.42,True
-111297,-78.535,-85.5708,5018.84,True
-136471,-4.0783,137.1583,4884.12,True
292149,56.0578,160.6439,4845.56,True
-148867,56.0558,160.6417,4812.0,True
304538,45.8328,6.8647,4810.72,True
-149204,45.8325,6.865,4810.05,True
306903,-4.0833,137.185,4803.99,True
-157776,-4.7083,140.2892,4757.01,True
-189979,13.2367,38.3683,4550.05,True
