summitId,latitude,longitude,elevation
0,27.9892,86.9256,8737.79
1,35.8808,76.5125,8570.56
10,28.6981,83.4894,8135.91
37,30.3758,79.9703,7804.02
115,29.595,101.8792,7437.52
128,42.0356,80.1245,7419.46
156,29.6392,95.0653,7354.89
418,36.4128,87.3831,6981.64
506,-32.6533,-70.0117,6915.52
556,-27.1097,-68.5414,6886.62
868,-9.1208,-77.605,6736.75
1791,-18.1083,-68.8828,6544.06
3073,-15.5461,-72.6603,6417.98
4838,34.7975,99.4625,6309.25
5965,-1.4689,-78.8178,6262.51
8578,63.0694,-151.0061,6179.93
8592,35.6525,94.2505,6179.61
24100,60.5678,-140.405,5930.7
28080,-3.0764,37.3536,5886.79
34193,39.2514,93.6964,5826.41
34965,38.5006,97.7245,5819.03
50035,10.8389,-73.6861,5697.91
60481,43.3525,42.438,5632.35
66440,35.9544,52.1105,5598.75
67824,19.0303,-97.2703,5591.6
117802,2.9239,-76.0269,5377.59
128878,43.7897,88.4111,5337.77
129253,6.4944,-72.2975,5336.45
198007,39.7022,44.2983,5111.0
228179,0.3856,29.8725,5024.42
292149,56.0578,160.6439,4845.56
304538,45.8328,6.8647,4810.72
306903,-4.0833,137.185,4803.99
401703,13.2361,38.3683,4523.76
405621,-84.3278,166.45,4510.99
412178,29.5117,57.2711,4489.62
416741,-5.7858,145.0325,4474.72
424145,49.8075,86.59,4449.31
432951,36.5785,-118.2924,4418.99
437827,30.9519,51.4361,4402.27
438666,39.1178,-106.4453,4399.18
440598,46.8529,-121.7604,4392.47
441874,6.8267,39.8189,4388.19
461764,1.1183,34.5269,4317.62
462071,41.409,-122.1949,4316.58
475500,-77.0403,-126.0958,4268.02
481974,19.5628,-103.6083,4244.59
490630,43.1843,-109.6543,4212.95
490867,15.0433,-91.9036,4212.15
492376,46.6175,93.5945,4206.65
492818,19.8207,-155.468,4205.02
505450,31.06,-7.915,4158.45
506762,-71.7867,168.7508,4153.54
525104,-80.3667,77.3542,4086.32
540757,4.2181,9.1733,4029.2
542105,-8.8928,147.5331,4024.35
542586,-46.5958,-73.3444,4022.63
548511,-78.0603,162.6883,4001.3
553872,38.9858,-114.3139,3981.6
561748,44.9947,100.2308,3952.39
564918,51.3756,-125.2667,3940.63
565991,23.47,120.9572,3936.62
571530,53.1108,-119.1569,3915.64
578078,38.5317,35.4469,3890.73
579531,-85.7089,-128.5778,3885.18
588510,35.3464,-111.678,3850.54
