summitId,latitude,longitude,elevation
0,27.9892,86.9256,8737.79
-1,35.8817,76.5125,8613.95
-8,28.6975,83.4925,8167.12
-27,30.3758,79.9708,7815.99
-31,29.6325,95.0542,7781.85
-56,29.5967,101.8783,7555.99
-85,42.035,80.1283,7438.95
418,36.4128,87.3831,6981.64
-302,-32.6533,-70.0125,6961.94
-372,-27.11,-68.5425,6893.05
-541,-9.1208,-77.605,6768.08
-1146,-18.1083,-68.8833,6548.93
3073,-15.5461,-72.6603,6417.98
4838,34.7975,99.4625,6309.25
-3396,-1.4675,-78.8175,6266.99
-4041,35.6583,94.2617,6224.02
-4656,63.0692,-151.0067,6190.49
-11775,60.5675,-140.4058,5956.1
-14338,-3.0767,37.3542,5895.14
34965,38.5006,97.7245,5819.03
-23139,10.8392,-73.6867,5729.94
-29272,43.3542,42.4358,5641.85
-29682,19.0308,-97.27,5636.06
-31725,35.9558,52.11,5610.15
-47734,43.8017,88.3333,5444.95
-51801,6.495,-72.2967,5409.9
-54163,2.9233,-76.0283,5390.08
-90094,39.7033,44.2992,5137.1
-95011,0.3858,29.8733,5109.06
-111297,-78.535,-85.5708,5018.84
-136471,-4.0783,137.1583,4884.12
292149,56.0578,160.6439,4845.56
304538,45.8328,6.8647,4810.72
-157776,-4.7083,140.2892,4757.01
-189979,13.2367,38.3683,4550.05
-190328,32.3675,50.0867,4547.92
-193134,-84.3325,166.4308,4528.11
-195687,-5.78,145.03,4508.91
-196120,49.805,86.5908,4505.86
-196890,29.5117,57.2717,4500.07
432951,36.5785,-118.2924,4418.99
-207459,36.5783,-118.2925,4418.99
-209663,6.8258,39.8175,4400.09
438666,39.1178,-106.4453,4399.18
-209857,39.1175,-106.445,4399.18
-209879,46.8525,-121.76,4399.0
-218884,1.1183,34.5267,4321.15
-219480,41.4092,-122.195,4316.58
462071,41.409,-122.1949,4316.58
-222959,-77.04,-126.0517,4284.88
-225745,19.5633,-103.6083,4259.88
-228985,46.89,91.4733,4230.93
-230116,15.0433,-91.9033,4219.96
490630,43.1843,-109.6543,4212.95
492818,19.8207,-155.468,4205.02
-231667,19.8208,-155.4683,4205.02
-235722,31.06,-7.915,4166.92
-235778,-71.7892,168.7492,4166.01
-243175,6.075,116.5583,4094.99
-243362,-80.37,77.2542,4092.85
-247149,-46.595,-73.3458,4058.11
-249059,4.2183,9.1733,4040.12
-249338,-8.8925,147.5333,4037.99
-250660,-78.0608,162.685,4024.88
-251245,51.3733,-125.2633,4019.09
553872,38.9858,-114.3139,3981.6
-255208,38.9858,-114.3142,3981.6
-257887,53.1108,-119.1567,3959.05
-258154,44.995,100.2308,3956.91
-258614,23.4708,120.9583,3952.04
-259849,-85.7092,-128.6292,3940.15
-262210,38.5317,35.4508,3916.98
-270071,35.3467,-111.6783,3850.54
588510,35.3464,-111.678,3850.54
-274791,9.4842,-83.4892,3819.14
-275756,-77.2575,39.155,3810.0
-275800,-79.0058,93.6833,3808.78
-276199,-1.6967,101.2642,3805.12
-279484,35.3608,138.7275,3775.86
-283963,-39.6375,-71.5025,3746.91
-287793,-8.41,116.4575,3725.88
-288298,-43.595,170.1425,3724.05
621550,24.8714,-100.2328,3720.6
-290034,28.2725,-16.6425,3717.95
-295575,68.9183,-29.8992,3693.57
-298829,-8.1075,112.9225,3675.89
-302353,15.28,43.9783,3666.13
-328269,51.7192,100.5967,3490.87
-329123,-29.4683,29.2692,3482.04
680188,33.9059,-109.5627,3481.12
-329542,37.0533,-3.3117,3478.99
-329585,-3.385,120.0242,3478.07
-333000,3.7975,97.2192,3465.88
688340,19.7939,18.5522,3446.97
-338048,-7.2392,109.22,3428.09
-338415,-72.1267,26.0783,3425.04
-341008,42.6308,0.6567,3404.01
700909,66.9356,-36.7856,3394.74
-346171,-73.4558,61.4642,3354.93
-346417,23.2058,-104.9442,3351.89
718724,37.755,14.9953,3323.78
-350962,36.2808,59.0492,3314.09
-352127,25.9558,-107.0475,3303.12
730969,8.8753,34.8153,3276.06
-356395,-75.13,123.2042,3265.93
-356436,-75.0142,123.5675,3265.93
-359919,72.5275,-37.4533,3237.89
748129,-69.7981,-64.4544,3212.04
-368632,-4.0158,103.1283,3172.97
-368708,-88.1517,-171.0383,3172.0
-373085,-71.8758,6.6617,3143.71
-373339,22.3033,103.775,3141.88
-379203,31.4483,110.3042,3105.0
-380626,19.0233,-70.9975,3097.99
-381183,30.9925,-115.375,3094.94
-383985,28.2525,-107.595,3080.92
787302,21.2336,93.903,3077.34
-385485,56.8642,117.575,3072.08
-385725,-21.0992,55.48,3070.86
-385994,36.5933,30.15,3069.95
792236,39.0806,113.567,3061.85
796144,22.2739,-102.6072,3049.35
-391092,12.9342,24.23,3041.9
801765,-3.1733,129.4556,3031.82
-393347,0.5775,120.205,3030.02
-394500,57.3467,-124.0925,3023.92
-394819,-82.4667,-103.9,3022.09
-395459,23.2383,57.2633,3018.13
-398099,65.1858,146.04,3002.89
-398349,-15.9492,35.5925,3001.98
813734,17.9286,43.2655,2995.85
-399711,0.805,-66.0067,2994.05
-401973,-9.0783,34.0208,2980.03
-404878,-8.9075,125.4942,2962.96
-405489,62.58,140.8975,2959.0
-406335,6.9875,125.2708,2954.12
828800,63.4314,-130.3244,2953.42
-408578,73.0908,-28.6175,2942.84
-410511,-54.45,-36.5242,2931.87
-411815,42.18,23.585,2924.86
840299,16.5978,120.8989,2922.57
-412796,0.0792,99.9842,2919.07
-413244,40.0858,22.3583,2916.94
-414079,42.4692,13.5658,2912.06
-414555,-74.1633,-3.6608,2909.93
-414815,23.2892,5.5333,2908.1
849384,-72.5492,0.6542,2899.31
-416896,-20.4358,-41.7975,2897.12
-419267,-41.9958,173.6625,2884.93
858207,63.1606,-44.7867,2877.23
-420943,-14.0225,48.9675,2876.09
-422352,54.755,-163.9708,2869.39
-428523,54.6217,110.4558,2840.13
-430778,18.9808,103.1517,2830.07
-431179,14.95,-24.3425,2828.85
-433064,61.8317,-44.6633,2820.92
-435556,-85.0442,-90.8458,2809.95
-435457,5.1408,-60.7633,2809.95
891388,48.4656,107.4128,2800.79
-438460,-22.4283,-44.8425,2798.06
897665,-64.6242,-63.4383,2787.41
-443111,17.5625,38.0058,2780.08
-447140,10.5433,-66.7825,2765.15
-448871,54.4183,-127.7442,2759.05
915896,-53.1036,73.5175,2750.4
-454565,41.9933,128.0775,2744.11
-454766,69.2775,-144.91,2743.81
-465302,-5.905,154.995,2714.85
-471710,-3.3008,126.22,2699.92
-474267,10.1708,77.0633,2695.04
-476912,-74.84,-11.2017,2691.99
-489939,-80.61,-96.7675,2674.92
965265,20.7794,40.798,2659.24
-494777,-22.195,46.885,2657.86
-495853,49.1642,20.1342,2653.89
-496130,-7.0925,37.6183,2652.98
-497509,43.1975,-4.8525,2648.1
-499063,-19.3492,47.2433,2642.92
-499751,-86.3275,-106.4158,2640.79
-503282,28.51,33.955,2628.9
986531,-54.6631,-69.5925,2623.49
-504906,18.81,97.0375,2623.11
-505884,-12.4625,15.1742,2620.06
-507071,81.915,-75.0092,2616.1
-512771,15.0692,107.975,2598.12
-514643,-18.3,32.8417,2592.02
-514945,40.2458,-5.2975,2591.1
-520640,-21.1492,14.5775,2573.12
-521576,27.8817,108.6817,2570.07
-524226,61.8933,171.1858,2562.15
-537141,7.0008,80.7742,2524.05
-537142,7.0,80.7742,2524.05
-537874,67.4125,-154.9658,2522.52
-543183,56.2192,-159.2975,2506.98
-544490,-31.7592,24.54,2503.02
1083900,-81.9417,-89.8042,2483.52
1085146,-7.5039,29.9867,2481.97
-553413,-22.65,17.1792,2478.94
-556761,61.6367,8.3125,2468.88
1102272,76.4694,-25.6433,2460.85
-559984,10.735,47.245,2460.04
-561472,35.2275,24.7708,2456.08
-579029,67.5817,128.14,2409.14
1172299,61.9219,-133.3678,2380.2
-590950,55.8967,130.4533,2379.88
-591123,-67.01,-65.9183,2379.88
1173752,23.9767,39.2825,2378.66
-594808,53.6067,134.575,2370.12
-598865,-11.7575,43.3658,2360.98
1198987,-5.0508,151.3311,2351.54
-603040,38.4683,-28.3992,2350.92
-604694,64.4708,-138.555,2346.96
1204848,40.9761,110.6189,2345.63
-609661,-9.7033,160.0617,2335.07
-611418,-25.2092,30.15,2331.11
1222121,-74.1519,-66.4733,2328.22
-612777,35.3183,6.6367,2328.06
-614101,-33.3983,21.3675,2325.01
1239262,-0.6597,112.6886,2310.88
-622202,36.4475,4.2283,2307.95
-627605,-66.7867,54.165,2300.02
-627595,-61.285,-54.1458,2300.02
1250857,71.4011,-51.8358,2299.6
-632432,43.6633,142.8542,2290.88
-638847,71.08,-8.1792,2276.86
1299555,50.5742,134.5939,2254.72
-651571,1.82,115.2725,2250.03
-656500,-17.6233,-149.4767,2240.89
1319824,32.9117,-0.4675,2236.39
-662695,-36.4558,148.2633,2228.09
1342026,66.7706,-65.1583,2216.91
1352606,-70.1944,64.8,2208.16
-676430,-27.1808,18.7292,2201.88
-682649,66.0383,-52.255,2191.82
-683483,4.6325,102.235,2189.99
