Latitude,Longitude,Elevation,Key col latitude,Key col longitude,Prominence
-0.6367,-90.2933,1017,-0.6342,-90.2917,370
-0.1792,-91.295,3612,-0.2075,-91.2708,446
-0.3633,-91.5392,1876,-0.3942,-91.5233,2284
-0.4517,-91.1258,2536,-0.4008,-91.1525,666
-0.9292,-91.3883,3854,-0.9058,-91.4025,1119
-0.0133,29.9417,3412,-0.01,29.9442,374
-0.0133,29.9667,2972,-0.0142,29.9717,538
-0.0392,29.9667,3152,-0.0425,29.9658,414
-0.0567,29.9575,3034,-0.0575,29.9717,427
-0.1708,36.0617,5626,-0.1567,36.1067,476
-0.3808,36.0675,5744,-0.2208,36.1225,647
-0.4233,100.805,1332,-0.4075,100.802,442
-0.4425,100.836,1279,-0.4433,100.843,394
-0.4517,100.833,1578,-0.4517,100.838,301
-0.4608,100.817,1564,-0.45,100.812,348
-0.5525,100.915,646,-0.56,100.919,308
-0.6008,101.082,856,-0.5958,101.08,302
-0.6317,101.078,1492,-0.6342,101.072,364
-0.7425,101.171,1673,-0.7458,101.177,380
-0.8975,101.513,767,-0.91,101.525,355
-0.8642,131.857,2017,-0.8692,131.851,302
-0.8658,131.889,2089,-0.8792,131.887,322
-9.8717,-39.8717,1085,-9.8625,-39.8708,394
-9.7308,-74.54,3372,-9.7292,-74.5333,312
-9.8058,-74.5183,2296,-9.8192,-74.51,338
-9.8233,-74.3808,1210,-9.8208,-74.3767,371
-9.83,-74.4975,2536,-9.8308,-74.495,360
-9.8425,-75.8033,6433,-9.8375,-75.8058,302
-9.595,-76.7567,11325,-9.5808,-76.7533,351
-9.0125,33.5508,6735,-9.0158,33.5533,308
-9.5175,119.933,711,-9.515,119.933,374
-9.1508,148.424,2414,-9.1458,148.423,394
-10.4233,-138.66,-347,0,0,347
-10.4367,-138.666,823,-10.4358,-138.667,725
-10.1242,-74.4517,3467,-10.1192,-74.4475,391
-10.1533,-74.6558,1702,-10.1325,-74.6733,374
-10.3833,-74.7033,2463,-10.385,-74.7058,312
-10.885,-75.4158,7791,-10.8875,-75.4092,420
-10.9342,-75.9125,13218,-10.935,-75.9192,305
-10.9542,-75.8858,12854,-10.9592,-75.885,334
-10.475,-76.7042,14274,-10.4783,-76.7,302
-10.4792,-76.7475,15075,-10.4783,-76.7508,344
-10.6775,-76.26,13221,-10.6783,-76.265,873
-10.7125,25.4192,4091,-10.7042,25.4267,623
-11.6667,-77.1733,498,-11.6717,-77.1833,318
-11.765,43.3642,6433,-11.7533,43.3617,994
-11.6192,160.191,3,-11.6483,160.283,308
-12.5283,27.84,3874,-12.5275,27.835,394
-12.5442,27.8258,3996,-12.5417,27.8167,308
