latitude,longitude,elevation,name_local,name_en,wikipedia
27.9882361,86.9250181,8848.86,珠穆朗玛峰 ཇོ་མོ་གླང་མ། सगरमाथा,Mount Everest,zh:珠穆朗瑪峰
35.8818694,76.513741,8611.0,کے ٹو,K2,ur:کے ٹو
27.701126,88.1483381,8586.0,Kangchenjunga,Kangchenjunga,en:Kangchenjunga
28.6976088,83.4894884,8167.0,Dhaulagiri,Dhaulagiri,en:Dhaulagiri
-14.4564231,-41.5924075,8165.0,Morro do Mirante,,
28.5499829,84.5597284,8163.0,मनास्लु,Manaslu,en:Manaslu
28.552514,84.5574909,8163.0,Manaslu Summit,,
35.2384621,74.5895446,8126.0,Nanga Parbat,Nanga Parbat,en:Nanga Parbat
28.5958063,83.8199199,8091.0,अन्नपूर्ण,Annapurna I,en:Annapurna
40.1329764,-111.0863392,8060.0,,,
28.3553668,85.7782824,8027.0,ཤིས་ས་སྤང་མ། 希夏邦马峰 Shishapangma,Shishapangma,en:Shishapangma
33.9683579,133.6338329,7933.0,,,
36.3247439,75.1883973,7885.0,Distaghil Sar,,de:Distaghil Sar
30.3760768,79.9701154,7816.0,Nanda Devi,Nanda Devi,
36.5105692,74.5231031,7795.0,Batura Sar,,de:Batura Sar
36.1423242,74.4881554,7788.0,,Rakaposhi,ur:راکاپوشی
29.6312935,95.0549125,7782.0,南迦巴瓦峰/གནམས་ལྕགས་འབར་བ་,Namcha Barwa,en:Namcha Barwa
30.9201437,79.5926638,7756.0,Kamet,,
36.2578594,71.8504549,7708.0,Tirich Mir,Tirich Mir,en:Tirich Mir
30.4381185,81.2961069,7694.0,纳木那尼/གནས་མོ་སྣ་གཉིས།,Gurla Mandhata,en:Gurla Mandhata
34.8665036,77.7522739,7672.0,Saser Kangri I,,
38.6194756,-0.1570916,7671.0,,,
38.594522,75.3151402,7649.0,公格尔峰,Kongur Tagh,en:Kongur Tagh
28.0472866,90.45488,7570.0,Gangkhar Puensum,Gangkhar Puensum,
29.5958507,101.8790571,7556.0,贡嘎山,Mount Gongga,en:Mount Gongga
28.2273067,90.6152621,7538.0,库拉岗日 I,Khula Kangri I,zh:库拉岗日 I
38.9430103,72.0155851,7495.0,Қуллаи Исмоили Сомонӣ,Ismoil Somoni,ru:Пик Исмоила Сомони
42.0346617,80.1287134,7439.0,Жеңиш чокусу - 托木尔峰 - تۆمۈر چوققىسى,Jengish Chokusu,ky:Жеңиш чокусу
34.8366729,73.0833507,7350.0,Domrai sar,,
28.9479483,90.1801905,7206.0,宁金抗沙峰/གནོད་སྦྱིན་གངས་བཟང་།,Noijin Kangsang,zh:宁金抗沙峰
35.3151456,80.9161365,7167.0,昆仑女神峰,Liushi Shan,de:Liushi Shan
30.382626,90.5754458,7162.0,གཉན་ཆེན་ཐང་ལྷ་ 念青唐古拉峰 Nyainqêntanglha,Mount Nyenchen Tanglha,zh:念青唐古拉峰
33.9820894,76.0243674,7135.0,Nun,,
39.3436698,72.8779256,7134.0,южная вершина пика Ленина,Abu Ali Ibn Sino,
27.8659774,92.5313343,7060.0,Kangto 康格多,Kangto,
29.8332433,84.610279,7030.0,冷布岗日/བློན་པོ་གངས་རི།,Loinbo Kangri,
36.4129813,87.3842221,6973.0,木孜塔格山,Ulugh Muztagh,zh:木孜塔格山
35.6516163,82.3127634,6962.0,,Qong Muztagh,de:Qong Muztagh
-32.6531487,-70.0119607,6961.0,Cerro Aconcagua,Aconcagua,es:Aconcagua
30.9037025,93.7849019,6956.0,色浦岗日/བསངས་ཕུ་གངས་རི།,Sepu Kangri,
37.570551,-113.521494,6943.0,Pinto,,
-27.1095372,-68.5414835,6891.0,Nevado Ojos del Salado,,es:Nevado Ojos del Salado
29.1664673,96.7220831,6882.0,白日嘎,Bairiga,en:Bairiga
29.7662244,82.7500246,6880.0,Kubi Gangri,,en:Kubi_Gangri
36.7303374,73.2396269,6872.0,Koyo Zom,,de:Koyo Zom
30.3025562,93.6525011,6870.0,乃朗峰/གནས་ནང་རི,Nenang Ri,
36.0249393,90.8667655,6860.0,布喀達坂峰,Bukadaban Feng,zh:布喀達坂峰
30.3433929,93.9151815,6842.0,曲果/ཚུ་མགོ།,Chugo,
31.6976739,85.0618942,6822.0,Shakangsham,,de:Shahkangshan
31.883999,78.73144,6816.0,Reo Purgyil,,en:Reo Purgyil
36.7240661,84.6021839,6798.0,Mount Aktag,,
-27.7551789,-68.7992115,6795.0,Monte Pissis,,es:Monte Pissis
32.5305093,78.3950661,6794.0,Gya,Gya,de:Gya (Berg)
-31.9792688,-70.1130909,6770.0,Cerro Mercedario,,es:Cerro Mercedario
-9.1212329,-77.6043009,6768.0,Huascarán Sur,,en:Nevado Huascarán
-28.0188231,-68.7562866,6759.0,Cerro Bonete Chico,,
28.4397063,98.6844028,6740.0,卡瓦格博,Kawagarbo,zh:卡瓦格博
-24.7199556,-68.5368079,6739.0,Volcán Llullaillaco,,es:Volcán Llullaillaco
34.0955245,79.8402608,6735.0,太冬杰久,Taidong Jiejiu,
33.7252614,78.5274372,6725.0,Kangju Kangri,,en:Kangju Kangri
32.8082516,81.0010493,6720.0,昂龙岗日/ངང་ལུང་གངས་རི,Nganglung Kangri,
30.578214,94.4674046,6692.0,勒普,,
36.2168766,82.0357139,6691.0,Selik Gulam Muztag,,de:Selik_Gulam_Muztag
32.9330104,78.4571556,6666.0,Lungser Kangri,,en:Lungser Kangri
37.874036,127.1283772,6661.1,해룡산,,
36.047752,80.1189145,6638.0,,Mush Muztagh,
28.8006423,91.9652878,6636.0,雅拉香波/ཡར་ལྷ་ཤམ་པོ།,Yarlha Shampo,
-10.2686236,-76.9055636,6635.0,Yerupajá,,en:Yerupajá
32.0905372,77.7346698,6632.0,Parvati Parbat,,
31.0399247,83.4399335,6625.0,,,
33.4960687,91.1667381,6621.0,各拉丹冬峰,Geladaindong Peak,zh:各拉丹冬峰
30.4705908,86.5578746,6590.0,,,
30.8367207,91.4888825,6590.0,桑丹康桑峰,Samdain Kangsang,
35.9943714,81.593428,6580.0,,Kotaklik Shan,de:Kotaklik Shan
-33.3583899,-69.7703451,6570.0,Volcán Tupungato,Tupungato,en:Tupungato
-18.1081113,-68.8830426,6542.0,Nevado Sajama,Nevado Sajama,es:Nevado Sajama
32.545996,77.4115377,6517.0,Mulkila,,
35.7229509,78.6873757,6510.0,Karakash Shan,,
33.9246843,89.2502838,6482.0,普若岗日/བུ་རོགས་གངས་རི,Purog Gangri,
-16.654999,-67.783661,6462.0,Illimani,,es:Illimani
-16.6553256,-67.7834933,6462.0,Pico Sur,,
34.377087,85.8348387,6460.0,藏色岗日 རྩང་སེར་གངས་རི,Zangse Gangri,
31.4858541,83.4971452,6450.0,,,
34.4169365,85.6341483,6436.0,布若岗日/བུ་རོག་གངས་རི,Burog Kangri,
-15.8541396,-68.5408337,6427.0,Ancohuma,,es:Ancohuma
-15.5464301,-72.6617966,6425.0,Volcán Coropuna,,es:Coropuna
32.9195565,76.711167,6416.0,Menthosa,,sv:Menthosa
30.8161522,88.6620042,6410.0,甲岗日/རྒྱ་སྒང་རི།,Gyagang Ri,
-25.5626522,-67.880714,6409.0,Volcán Antofalla,,en:Antofalla
-13.7890748,-71.2299013,6384.0,Ausangate,,qu:Awsanqati rit'i urqu (Pitumarka-Uqunqati)
-24.9319413,-66.389878,6380.0,Cerro del Libertador General San Martín,,
-24.9320155,-66.3902628,6380.0,Nevado de Cachi,,en:Nevado de Cachi
33.4859702,82.2241151,6369.0,,Tagchagpu Ri,
35.6633995,85.617769,6350.0,,Songzhi Peak,
