id,latitude,longitude,elevation,isolation
2,35.8817,76.5125,8613.95,1315607.9
12,28.6975,83.4925,8167.12,317503.9
39,30.3758,79.9708,7815.99,387979.4
45,29.6325,95.0542,7781.85,706845.1
61,36.255,71.84,7708.09,238571.4
75,38.5933,75.3125,7648.96,239771.6
84,28.0467,90.4558,7570.01,227892.2
85,29.5967,101.8783,7555.99,660561.6
104,38.9442,72.015,7495.03,278701.5
125,42.035,80.1283,7438.95,558015.2
246,35.3158,80.915,7167.07,288395.0
391,36.4125,87.385,6972.91,596419.7
396,-32.6533,-70.0125,6961.94,16517582.0
438,33.9233,89.2108,6929.02,322365.3
468,-27.11,-68.5425,6893.05,630511.0
512,36.0242,90.8658,6860.13,277766.7
566,31.6967,85.0633,6822.03,210745.8
643,-9.1208,-77.605,6768.08,2207643.1
684,36.7242,84.6017,6747.97,232032.7
697,28.4383,98.685,6740.04,207708.1
701,-24.72,-68.5367,6739.13,264411.7
1249,-18.1083,-68.8833,6548.93,732567.9
1512,34.3942,85.8492,6495.9,260271.5
2056,-15.5458,-72.6608,6405.07,442942.5
2336,-13.7883,-71.2292,6372.15,245670.0
3267,34.7917,99.4675,6281.93,553172.9
3489,-1.4675,-78.8175,6266.99,845643.0
4138,35.6583,94.2617,6224.02,296970.6
4748,63.0692,-151.0067,6190.49,7450213.9
5009,-21.2208,-68.4683,6175.86,331697.1
5166,31.7867,99.0733,6167.93,225262.5
10879,41.0683,77.6817,5982.0,202327.8
11858,60.5675,-140.4058,5956.1,622726.0
14329,-12.2592,-75.9592,5896.97,238138.3
14419,-3.0767,37.3542,5895.14,5509693.8
17593,39.2508,93.6967,5829.91,373481.4
18693,38.5,97.725,5807.96,359265.6
23152,10.8392,-73.6867,5729.94,1287041.7
29291,43.3542,42.4358,5641.85,2469398.9
29765,19.0308,-97.27,5636.06,2690265.4
31798,35.9558,52.11,5610.15,1164998.4
47782,43.8017,88.3333,5444.95,609405.2
51815,6.495,-72.2967,5409.9,499145.2
54226,2.9233,-76.0283,5390.08,386379.8
56785,33.29,101.105,5369.05,211054.1
64280,4.8917,-75.3183,5311.14,231292.2
72005,37.6933,101.505,5254.14,251269.9
80468,-0.1525,37.3092,5198.97,319857.2
90185,39.7033,44.2992,5137.1,379313.5
95124,0.3858,29.8733,5109.06,829793.6
