id,latitude,longitude,elevation,prominence
0,27.9892,86.9256,8737.79,8737.79
1,35.8808,76.5125,8570.56,3973.94
2,27.7028,88.1475,8564.29,3900.82
10,28.6981,83.4894,8135.91,3328.8
13,35.2386,74.5894,8104.31,4592.91
15,28.5508,84.5592,8043.81,2983.69
21,28.3556,85.7778,7920.27,2802.27
30,36.325,75.1878,7864.82,2492.21
37,30.3758,79.9703,7804.02,3128.3
42,36.5122,74.5186,7775.25,3100.32
53,30.9192,79.5922,7733.85,2792.16
62,36.2544,71.8417,7695.1,3904.74
67,36.1425,74.4878,7649.2,2661.09
69,30.4386,81.2964,7645.59,2741.94
73,34.8667,77.7522,7616.14,2254.15
77,38.5944,75.315,7597.78,3528.51
97,28.0475,90.4544,7501.17,2927.62
102,38.2769,75.1136,7484.46,2671.71
115,29.595,101.8792,7437.52,3526.77
128,42.0356,80.1245,7419.46,4126.96
133,38.9431,72.0155,7408.46,3315.94
156,29.6392,95.0653,7354.89,3665.94
250,28.9478,90.1789,7187.89,2142.98
274,35.3147,80.9161,7154.49,1934.75
291,39.3431,72.8778,7127.82,2785.57
328,33.9822,76.0244,7072.66,2340.66
330,30.3842,90.5736,7069.21,2149.26
345,29.8325,84.61,7056.54,1904.66
370,27.8725,92.5297,7029.02,2168.35
386,29.9022,90.0255,7015.7,1331.79
418,36.4128,87.3831,6981.64,1957.46
431,35.6517,82.3128,6971.81,1519.97
506,-32.6533,-70.0117,6915.52,6915.52
511,30.9039,93.785,6913.5,2171.46
556,-27.1097,-68.5414,6886.62,3677.76
633,29.7664,82.7503,6838.68,1682.82
638,36.0242,90.8661,6834.64,1823.79
647,36.73,73.2397,6828.46,2518.23
669,29.1669,96.7231,6817.01,2406.15
676,35.795,80.39,6813.51,1192.61
722,-27.7544,-68.7989,6790.57,2145.56
740,31.6978,85.062,6782.6,1876.18
765,34.0953,79.84,6774.36,1357.88
775,30.3039,93.6494,6769.9,1849.44
833,35.8444,79.5719,6748.07,1420.64
834,-28.0186,-68.7561,6747.44,1466.84
854,36.0194,79.4611,6741.77,884.55
863,31.9019,78.7425,6739.85,1906.25
868,-9.1208,-77.605,6736.75,2770.39
874,36.7236,84.6017,6732.92,1905.25
880,-24.72,-68.5367,6731.72,2342.14
911,30.3433,93.9131,6718.33,1436.79
916,-31.9792,-70.1131,6717.4,3361.19
939,32.8083,81.0011,6711.55,1763.13
989,36.2169,82.0358,6696.82,1667.37
1136,32.9325,78.4575,6660.76,1465.09
1170,32.53,78.3956,6653.4,1770.16
1175,31.0392,83.4414,6652.96,1365.59
1195,32.3172,78.5453,6648.85,993.77
1226,33.7258,78.528,6640.03,2064.14
1243,28.4383,98.6825,6636.89,2132.29
1304,30.4706,86.5578,6624.76,1431.66
1375,31.5953,83.4431,6609.57,1465.86
1378,34.2717,80.8525,6608.84,1255.37
1481,33.4964,91.1681,6590.63,1513.34
1482,35.9944,81.5933,6590.62,1515.58
1535,28.8006,91.9653,6582.07,1753.41
1590,30.8369,91.4894,6574.34,1600.59
1604,-33.3586,-69.7706,6572.56,2770.2
1791,-18.1083,-68.8828,6544.06,2430.23
1821,35.7225,78.6872,6540.38,1554.53
1863,32.0906,77.7344,6534.73,2002.4
2036,34.3944,85.8489,6513.64,1415.38
2144,30.5783,94.4692,6502.07,1301.57
2423,33.9247,89.2492,6474.1,1372.88
2493,-10.2672,-76.9056,6466.98,1885.28
2643,32.1781,79.8153,6454.04,1184.82
2728,-25.5628,-67.8811,6445.04,1966.03
2750,36.2944,78.7547,6443.32,1171.49
2761,30.8161,88.6625,6442.32,1251.32
2790,34.2956,81.9617,6439.73,1144.58
2812,32.9183,76.7122,6437.5,1399.83
3015,32.5453,77.4111,6422.35,1493.71
3073,-15.5461,-72.6603,6417.98,2232.88
3102,-15.8544,-68.5419,6416.1,2438.35
3168,33.4858,82.2242,6410.56,1185.54
3195,34.1586,82.1572,6408.56,948.66
3226,33.3861,76.8125,6406.34,1106.04
3229,29.9536,86.4442,6406.26,1178.79
3253,-16.6542,-67.7844,6404.52,1883.63
3477,33.7481,77.5572,6386.84,1431.74
3780,35.6633,85.6178,6368.27,1322.17
4094,34.7736,82.3642,6348.44,1189.59
4151,-24.9322,-66.3903,6345.32,2118.72
4200,33.7533,82.335,6342.59,874.37
4288,33.4639,81.6661,6337.73,1146.16
4298,31.0344,82.5294,6337.18,863.79
4313,32.5772,79.2783,6336.38,771.37
4584,31.4533,86.7581,6321.28,1365.25
4648,-13.7883,-71.2294,6318.15,2033.09
4652,30.5072,83.0672,6317.83,974.01
4838,34.7975,99.4625,6309.25,1984.67
4926,33.2314,79.183,6304.94,1662.75
5077,33.065,88.5408,6298.67,1263.41
5135,29.7906,88.2847,6296.13,1060.29
5218,32.3019,87.3878,6292.96,1312.14
5246,32.9728,80.1847,6291.87,1268.47
5303,31.815,94.6994,6289.43,1629.5
5362,-15.8211,-71.88,6286.96,1996.4
5372,36.3294,83.0425,6286.42,1231.31
5416,32.0361,80.3472,6284.46,863.36
5500,33.3428,85.2161,6280.65,1322.31
5530,30.5097,83.8808,6279.38,645.73
5723,33.2392,79.5642,6271.43,489.56
5727,32.9953,79.9544,6271.3,509.15
5914,33.4628,86.7755,6264.34,1197.03
5917,37.2433,85.885,6264.28,1420.71
5962,37.9136,87.3892,6262.6,2048.13
5965,-1.4689,-78.8178,6262.51,4117.28
5978,-30.4203,-69.7811,6261.96,2097.76
6100,37.2242,85.7728,6257.04,510.94
6107,35.5572,89.5781,6256.77,1242.99
6169,30.0347,85.7986,6254.55,763.85
6468,31.8817,82.4664,6243.29,1285.19
6995,-13.3333,-72.5436,6225.69,2503.53
7182,29.1817,98.46,6220.19,1656.49
8578,63.0694,-151.0061,6179.93,6179.93
8592,35.6525,94.2505,6179.61,1633.85
8741,-21.2208,-68.4683,6176.25,2171.33
9118,31.5758,82.0917,6167.28,871.06
9167,30.2553,88.3611,6166.16,899.65
9297,33.5267,83.1783,6162.6,973.35
9681,-29.13,-69.7867,6153.41,1898.54
9696,29.8069,99.6067,6153.08,1945.62
9795,-29.9392,-69.9069,6150.89,1389.15
9871,-21.8878,-68.3914,6149.33,2032.15
9882,32.5267,87.9425,6149.12,764.71
9912,37.3881,87.6067,6148.33,1751.25
10251,-24.3083,-66.7325,6140.03,1637.79
10316,34.4131,83.0061,6138.57,870.39
10334,28.8533,93.1994,6138.23,1446.78
10756,34.2517,84.2722,6129.36,1023.46
11717,31.3372,87.3745,6109.83,1252.48
11996,33.1033,92.0661,6105.02,1032.94
12067,-29.5978,-69.4583,6103.5,1533.61
12176,33.4767,87.6467,6101.35,997.95
12222,-29.0139,-67.8264,6100.21,2777.82
12631,34.1411,86.6158,6092.38,808.19
13607,-16.195,-71.5319,6074.93,1986.39
13812,31.785,99.0647,6071.76,1606.96
14289,32.3781,82.23,6064.16,1182.19
14425,38.19,88.9081,6061.9,1919.97
14837,33.7731,83.5492,6055.62,753.49
14982,29.7067,87.4556,6053.08,617.43
15698,30.0597,99.3103,6042.32,1246.92
15787,31.1064,102.9019,6040.85,2353.41
15800,-14.6564,-69.2297,6040.66,1561.43
16249,31.3308,86.0828,6034.14,786.61
16294,31.6953,95.3717,6033.15,1206.62
16402,30.43,87.4886,6031.61,749.72
16557,-23.2928,-67.6181,6029.17,1595.86
16579,35.2594,88.5497,6028.89,1020.14
16796,30.3839,87.6858,6025.33,517.82
17386,30.0358,87.4842,6016.77,837.19
18017,-22.2644,-67.1869,6007.51,1386.97
18812,-26.53,-67.0594,5996.71,1766.72
19349,33.6811,87.9958,5989.54,827.81
19731,-19.7525,-68.6967,5984.44,1728.38
20504,-22.7189,-67.8903,5974.78,1259.93
20693,29.4331,92.6211,5972.38,688.13
20772,32.7153,92.6333,5971.43,779.05
21402,-17.7206,-69.7725,5963.15,1706.41
21872,31.3819,88.16,5956.96,1146.41
22334,-21.4917,-67.9319,5952.05,1474.77
22527,34.8947,89.5861,5949.8,856.3
22967,34.6381,89.7725,5944.44,773.65
23435,28.3564,100.3567,5939.03,1782.72
24101,60.5678,-140.405,5930.7,5224.11
24238,-21.9336,-66.8806,5929.16,1353.42
25011,-24.0631,-65.7458,5920.35,2158.24
25553,34.1839,83.5308,5914.23,752.11
25628,30.2972,92.2758,5913.42,863.21
25981,31.4511,100.225,5909.37,1933.58
26013,30.8264,87.7625,5908.99,857.57
26632,37.6461,88.282,5902.34,926.48
27171,32.5383,92.9689,5896.76,810.03
27486,-25.9683,-66.9283,5893.28,1411.31
27643,32.7194,85.0097,5891.52,903.13
27688,-23.7456,-67.5403,5891.04,1294.81
28079,-3.0764,37.3536,5886.79,5886.79
28391,-0.6806,-78.4381,5883.41,2387.32
28561,34.2389,90.2111,5881.7,523.89
28889,-19.1461,-68.6983,5878.29,1606.82
29198,41.0594,77.6839,5875.08,2572.04
29622,-12.2592,-75.9592,5870.53,1264.27
30192,33.5719,94.9311,5864.98,1169.34
31447,-22.6547,-67.0139,5852.49,823.39
31563,-22.9367,-66.9653,5851.37,1073.89
33312,38.3106,89.5111,5834.64,1124.71
34193,39.2514,93.6964,5826.41,2525.67
34448,30.4469,96.9017,5824.07,1213.18
34807,32.7364,93.2411,5820.61,543.68
34965,38.5006,97.7245,5819.03,2241.89
36106,35.7867,88.7792,5808.71,522.72
36214,-17.0256,-70.3722,5807.67,1255.39
36657,-13.9081,-70.4164,5803.8,1144.05
36906,33.4217,95.4439,5801.6,888.86
37830,30.5783,99.4939,5793.53,1279.3
38393,0.0253,-77.9889,5788.45,2077.36
40116,28.3061,97.4669,5773.45,1340.71
40883,35.8339,92.9911,5767.3,866.61
41478,32.5208,93.5531,5762.54,828.34
43186,31.7292,90.9053,5748.95,1044.25
44436,38.0381,95.3239,5738.86,1483.07
44749,33.1331,95.3375,5736.41,858.28
45080,34.7822,91.1253,5734.08,841.33
46584,33.7936,93.1092,5722.58,1009.14
46950,35.8794,95.1292,5719.97,1256.09
48178,38.1692,96.3906,5710.99,1262.59
50035,10.8389,-73.6861,5697.91,5506.06
50825,34.5253,87.6967,5692.45,643.26
52824,37.6936,90.618,5679.28,1347.65
54309,32.2831,91.5258,5669.91,721.12
55091,39.1947,95.2942,5664.78,1341.7
56536,34.4047,93.5042,5656.02,868.81
60191,32.5875,89.9675,5634.04,618.58
60481,43.3525,42.438,5632.35,4735.56
61188,32.7044,96.8592,5628.07,1192.87
61952,36.2444,93.0836,5623.56,999.15
63792,38.6528,96.1558,5613.29,1268.66
64785,-10.53,-75.9325,5607.78,1331.45
66441,35.9544,52.1105,5598.75,4660.82
67823,19.0303,-97.2703,5591.6,5591.6
69051,32.9308,94.7925,5585.33,907.93
70414,30.4917,97.6617,5578.47,1313.14
75296,39.2028,98.5433,5554.58,1598.76
75692,34.9358,92.2292,5552.62,666.15
77257,-27.2133,-66.0939,5545.09,3248.53
79134,33.3172,94.2272,5535.98,743.41
79966,-11.9089,-75.0531,5532.02,1547.38
80176,32.9653,94.4936,5530.95,674.58
82218,32.6758,103.8467,5521.61,1994.67
84080,35.8275,96.9511,5513.29,1177.48
84875,32.8083,95.81,5509.55,759.68
86094,-20.9186,-66.0361,5504.51,1527.69
86545,33.2881,93.9117,5502.51,544.37
87358,30.1261,97.8078,5498.89,570.41
89413,35.6764,96.2411,5490.33,825.43
93559,39.4347,96.5722,5472.69,1383.49
94680,35.7197,97.6425,5468.05,886.39
95731,39.5083,96.4514,5463.7,491.35
97245,-19.8025,-66.4792,5457.42,1321.19
97267,39.1981,68.1953,5457.35,2235.05
98648,31.0464,101.305,5451.5,1444.26
99808,34.9328,87.0592,5446.69,477.63
100239,27.0986,100.1761,5445.0,3047.02
104799,-15.3775,-70.6767,5426.98,954.2
105459,33.7811,96.3161,5424.28,830.52
106736,31.3744,97.1036,5419.18,1200.39
109619,19.0225,-98.6281,5408.14,3031.42
111260,-20.015,-66.7078,5401.89,921.09
111815,35.4356,97.6175,5399.87,845.57
116015,31.9061,92.0622,5384.01,559.52
117804,2.9239,-76.0269,5377.59,2639.25
118836,35.4625,98.1453,5373.9,1157.42
123140,39.2031,97.0855,5358.21,1184.24
128876,43.7897,88.4111,5337.77,4014.31
129253,6.4944,-72.2975,5336.45,3573.19
129634,-11.2961,-76.4728,5335.11,663.83
129770,34.8775,95.2658,5334.63,787.97
131966,33.2878,101.1028,5327.03,1107.98
133013,34.4719,92.01,5323.34,522.2
135243,31.2314,97.5311,5315.51,714.72
135526,32.4281,97.7378,5314.57,552.43
136423,33.2569,98.7417,5311.44,777.76
137169,-19.8325,-67.6458,5308.88,1597.5
137849,32.6483,97.8369,5306.38,883.93
140616,-13.1553,-75.0119,5296.7,722.03
141244,33.4828,96.8847,5294.5,690.55
141261,38.2403,98.7289,5294.43,1097.19
142692,36.1114,99.21,5289.56,750.66
143555,4.8939,-75.3236,5286.36,2022.08
146362,36.1358,98.9939,5276.49,665.5
146759,33.6294,97.4655,5275.23,722.41
148172,32.2522,98.0058,5270.41,504.18
150695,-12.9369,-75.335,5261.8,555.55
151224,31.4797,97.7097,5259.9,765.6
151257,-12.8022,-75.2367,5259.77,528.93
152535,33.3328,99.0514,5255.54,563.96
153023,-12.9142,-75.0425,5253.84,410.13
153451,35.9897,99.4581,5252.36,692.04
154244,34.0325,97.695,5249.61,590.31
154888,34.2286,97.6003,5247.42,429.98
156498,43.4381,86.0855,5242.01,2568.07
157953,37.6928,101.5061,5237.24,1481.87
158532,37.5697,97.9975,5235.58,828.53
158715,43.5797,85.1178,5235.02,1858.36
160698,33.9319,97.9395,5228.47,500.57
165466,35.1614,95.6928,5212.75,574.94
172231,34.5819,94.7,5190.76,461.31
180981,32.2192,102.7458,5162.92,993.97
181556,-19.0653,-66.3225,5161.1,999.6
181954,-14.3286,-73.0831,5159.83,689.1
182242,-0.1525,37.3089,5158.88,3786.05
183614,-18.9628,-66.4361,5154.47,302.94
184455,-14.74,-73.7075,5151.89,830.32
185866,-23.22,-65.0719,5147.5,1472.91
186322,-13.3769,-74.6394,5146.09,395.45
188266,-34.7558,-69.9711,5140.33,1893.96
195195,-18.9483,-66.6972,5119.23,956.9
198003,39.7022,44.2983,5111.0,3583.75
198040,-14.3319,-73.7633,5110.91,745.26
199115,34.4481,96.3872,5107.81,371.99
212092,-17.2136,-66.3997,5070.14,1234.18
212869,35.3686,68.7953,5067.99,1388.72
214081,38.3156,100.2769,5064.46,1440.37
215790,34.6428,67.6255,5059.56,2121.93
221494,-22.3261,-65.2403,5043.31,1155.7
221536,-22.4494,-65.1892,5043.16,753.75
221751,-19.8019,-65.6528,5042.53,1090.69
224359,-22.1461,-65.1933,5034.92,503.54
227865,42.6969,44.5181,5025.24,2336.1
227893,40.4494,75.0872,5025.18,1190.04
228177,0.3856,29.8725,5024.42,3844.0
234354,35.5422,101.5033,5007.32,1484.87
235715,34.6039,67.9583,5003.47,636.58
238992,61.3847,-141.7511,4994.49,2092.49
241357,61.7317,-143.4383,4987.8,3588.03
246844,62.2156,-144.1306,4972.72,2374.73
249934,43.1186,77.34,4963.76,2969.44
250260,35.1544,68.4764,4962.85,1046.26
252713,32.4633,100.2172,4955.96,571.42
253315,-18.6678,-66.0078,4954.27,955.17
253443,32.4803,100.3125,4953.9,538.57
257018,32.6322,100.0347,4943.95,475.2
265985,31.9658,101.6867,4918.88,1030.83
266013,-78.5255,-85.6171,4918.81,4918.81
269461,-19.0931,-65.7511,4909.27,851.56
277398,36.3372,101.2006,4886.9,1537.93
278502,40.7072,74.3539,4884.03,889.91
279488,43.0742,94.3472,4881.32,3238.84
280370,42.5203,74.5703,4878.95,2210.25
280898,8.5494,-70.9964,4877.42,3854.0
284855,-12.8725,-74.1494,4866.35,1057.86
292144,56.0578,160.6439,4845.56,4741.02
296688,-18.0775,-66.895,4832.7,604.33
303859,42.5436,85.3445,4812.65,1809.45
304534,45.8328,6.8647,4810.72,4696.07
306401,38.2669,47.8367,4805.46,3274.67
306899,-4.0833,137.185,4803.99,4803.99
307717,33.6219,67.0478,4801.73,1727.68
309123,-20.3419,-65.2333,4797.74,1399.72
310895,34.1833,103.4786,4792.66,1253.12
314452,34.0831,101.4594,4782.67,600.88
317090,36.3753,50.9608,4775.25,1794.2
319139,40.9592,75.7653,4769.23,1199.23
320363,33.6617,67.6261,4765.71,1519.64
324285,34.0386,69.9019,4754.71,2297.78
327223,41.9403,76.7231,4746.37,1100.7
330087,42.7761,76.69,4738.4,891.91
331953,37.8447,99.6333,4733.18,529.05
338355,-4.2617,138.6819,4714.63,1234.24
339926,44.0708,83.9439,4710.18,1213.94
343096,37.0281,99.0797,4701.13,765.72
343519,-36.6375,-70.4325,4699.96,2224.9
344002,-4.7083,140.2897,4698.61,2697.58
349369,44.005,83.6925,4683.07,836.52
349856,42.3994,84.2189,4681.74,1131.1
351315,-7.1203,-77.6886,4677.63,997.97
353593,-17.3339,-65.6861,4671.24,1285.68
355172,58.9064,-137.5261,4666.66,3971.28
357654,19.1019,-99.7675,4659.66,2186.26
358730,42.4581,83.7994,4656.51,844.75
364524,35.5206,102.7072,4639.51,1112.46
377314,45.0425,80.2564,4601.38,2472.19
386834,-20.0656,-64.7508,4571.53,1311.72
390075,33.6711,103.5197,4561.29,933.36
391781,33.6647,104.1103,4555.87,955.0
396045,45.9425,7.8703,4542.39,2067.07
396976,-2.745,-79.2633,4539.46,1256.52
401691,13.2361,38.3683,4523.76,3972.2
403401,34.8036,66.5744,4518.02,1117.76
405613,-84.3278,166.45,4510.99,2586.68
406936,-1.5061,29.4503,4506.83,3310.2
411465,42.3089,71.0272,4491.96,1478.17
412167,29.5117,57.2711,4489.62,2729.32
416532,36.2228,102.3644,4475.41,1201.12
416735,-5.7858,145.0325,4474.72,2936.32
416747,-4.3042,139.63,4474.68,829.93
417482,41.8883,71.6767,4471.93,1312.66
418972,41.2208,47.8578,4467.0,2453.42
