id,latitude,longitude,elevation,name,name_en,wikipedia
0,27.9882361,86.9250181,8848.86,珠穆朗玛峰 ཇོ་མོ་གླང་མ། सगरमाथा,Mount Everest,zh:珠穆朗瑪峰
1,35.8818694,76.513741,8611.0,کے ٹو,K2,ur:کے ٹو
2,27.701126,88.1483381,8586.0,Kangchenjunga,Kangchenjunga,en:Kangchenjunga
3,28.6976088,83.4894884,8167.0,Dhaulagiri,Dhaulagiri,en:Dhaulagiri
4,-14.4564231,-41.5924075,8165.0,Morro do Mirante,,
5,28.5499829,84.5597284,8163.0,मनास्लु,Manaslu,en:Manaslu
6,28.552514,84.5574909,8163.0,Manaslu Summit,,
7,35.2384621,74.5895446,8126.0,Nanga Parbat,Nanga Parbat,en:Nanga Parbat
8,28.5958063,83.8199199,8091.0,अन्नपूर्ण,Annapurna I,en:Annapurna
9,40.1329764,-111.0863392,8060.0,,,
10,28.3553668,85.7782824,8027.0,ཤིས་ས་སྤང་མ། 希夏邦马峰 Shishapangma,Shishapangma,en:Shishapangma
11,33.9683579,133.6338329,7933.0,,,
12,36.3247439,75.1883973,7885.0,Distaghil Sar,,de:Distaghil Sar
13,30.3760768,79.9701154,7816.0,Nanda Devi,Nanda Devi,
14,36.5105692,74.5231031,7795.0,Batura Sar,,de:Batura Sar
15,36.1423242,74.4881554,7788.0,,Rakaposhi,ur:راکاپوشی
16,29.6312935,95.0549125,7782.0,南迦巴瓦峰/གནམས་ལྕགས་འབར་བ་,Namcha Barwa,en:Namcha Barwa
17,30.9201437,79.5926638,7756.0,Kamet,,
18,36.2578594,71.8504549,7708.0,Tirich Mir,Tirich Mir,en:Tirich Mir
19,30.4381185,81.2961069,7694.0,纳木那尼/གནས་མོ་སྣ་གཉིས།,Gurla Mandhata,en:Gurla Mandhata
20,34.8665036,77.7522739,7672.0,Saser Kangri I,,
21,38.6194756,-0.1570916,7671.0,,,
22,38.594522,75.3151402,7649.0,公格尔峰,Kongur Tagh,en:Kongur Tagh
23,28.0472866,90.45488,7570.0,Gangkhar Puensum,Gangkhar Puensum,
24,29.5958507,101.8790571,7556.0,贡嘎山,Mount Gongga,en:Mount Gongga
25,28.2273067,90.6152621,7538.0,库拉岗日 I,Khula Kangri I,zh:库拉岗日 I
26,38.9430103,72.0155851,7495.0,Қуллаи Исмоили Сомонӣ,Ismoil Somoni,ru:Пик Исмоила Сомони
27,42.0346617,80.1287134,7439.0,Жеңиш чокусу - 托木尔峰 - تۆمۈر چوققىسى,Jengish Chokusu,ky:Жеңиш чокусу
