latitude,longitude,elevation,isolation,summit_name,wikipedia
35.8817,76.5125,8613.95,1315608.0,K2,ur:کے ٹو
29.6325,95.0542,7781.85,706845.0,Namcha Barwa,en:Namcha Barwa
29.5967,101.8783,7555.99,660562.0,Mount Gongga,en:Mount Gongga
42.035,80.1283,7438.95,558015.0,Jengish Chokusu,ky:Жеңиш чокусу
36.4125,87.385,6972.91,596420.0,Ulugh Muztagh,zh:木孜塔格山
-32.6533,-70.0125,6961.94,16517582.0,Aconcagua,es:Aconcagua
33.9233,89.2108,6929.02,322365.0,,
-27.11,-68.5425,6893.05,630511.0,Nevado Ojos del Salado,es:Nevado Ojos del Salado
-9.1208,-77.605,6768.08,2207643.0,Huascarán Sur,en:Nevado Huascarán
-18.1083,-68.8833,6548.93,732568.0,Nevado Sajama,es:Nevado Sajama
-15.5458,-72.6608,6405.07,442942.0,Volcán Coropuna,es:Coropuna
34.7917,99.4675,6281.93,553173.0,Dradulllungshog,
-1.4675,-78.8175,6266.99,845643.0,Chimborazo,es:Chimborazo (volcán)
35.6583,94.2617,6224.02,296971.0,,
63.0692,-151.0067,6190.49,7450214.0,Denali,en:Denali
60.5675,-140.4058,5956.1,622726.0,Mount Logan,en:Mount Logan
-3.0767,37.3542,5895.14,5509694.0,Uhuru Peak,en:Mount Kilimanjaro
38.5,97.725,5807.96,359266.0,Mount Shulenan,zh:疏勒南山
10.8392,-73.6867,5729.94,1287042.0,Pico Cristóbal Colón,es:Pico Cristóbal Colón
43.3542,42.4358,5641.85,2469399.0,Mount Elbrus (West Summit),ru:Эльбрус
19.0308,-97.27,5636.06,2690265.0,Pico de Orizaba,
35.9558,52.11,5610.15,1164998.0,Damavand,fa:دماوند
43.8017,88.3333,5444.95,609405.0,Bogda Peak,zh:博格达峰
6.495,-72.2967,5409.9,499145.0,Ritacuba Blanco,en:Ritacuba Blanco
2.9233,-76.0283,5390.08,386380.0,Nevado del Huila,es:Nevado del Huila
