latitude,longitude,elevation,prominence,summit_name,wikipedia
27.9892,86.9256,8737.79,8737.79,Mount Everest,zh:珠穆朗瑪峰
35.8808,76.5125,8570.56,3973.94,K2,ur:کے ٹو
30.3758,79.9703,7804.02,3128.3,Nanda Devi,
29.595,101.8792,7437.52,3526.77,Gongga Shan,en:Mount Gongga
42.0356,80.1245,7419.46,4126.96,Pik Pobeda,ky:Жеңиш чокусу
29.6392,95.0653,7354.89,3665.94,,
36.4128,87.3831,6981.64,1957.46,Muztag,zh:木孜塔格山
-32.6533,-70.0117,6915.52,6915.52,Aconcagua,es:Aconcagua
-27.1097,-68.5414,6886.62,3677.76,Ojos del Salado,es:Nevado Ojos del Salado
-9.1208,-77.605,6736.75,2770.39,Nevado Huascarán,en:Nevado Huascarán
-18.1083,-68.8828,6544.06,2430.23,Nevado Sajama,es:Nevado Sajama
-15.5461,-72.6603,6417.98,2232.88,Nevado Coropuna,es:Coropuna
34.7975,99.4625,6309.25,1984.67,Dradulllungshog,
-1.4689,-78.8178,6262.51,4117.28,Volcán Chimborazo,es:Chimborazo (volcán)
63.0694,-151.0061,6179.93,6179.93,Denali,en:Denali
35.6525,94.2505,6179.61,1633.85,Yushu Feng,
60.5678,-140.405,5930.7,5224.11,Mount Logan,en:Mount Logan
-3.0764,37.3536,5886.79,5886.79,Kilimanjaro,en:Mount Kilimanjaro
38.5006,97.7245,5819.03,2241.89,Kangze'gyai,zh:疏勒南山
10.8389,-73.6861,5697.91,5506.06,Pico Cristóbal Colón,es:Pico Cristóbal Colón
43.3525,42.438,5632.35,4735.56,Elbrus,ru:Эльбрус
35.9544,52.1105,5598.75,4660.82,Damavand,fa:دماوند
19.0303,-97.2703,5591.6,5591.6,Pico de Orizaba,
2.9239,-76.0269,5377.59,2639.25,Nevado del Huila,es:Nevado del Huila
43.7897,88.4111,5337.77,4014.31,Bogda Feng II,
6.4944,-72.2975,5336.45,3573.19,Ritacuba Blanco,en:Ritacuba Blanco
39.7022,44.2983,5111.0,3583.75,Mount Ararat,ku:Çiyayê Agirî
0.3856,29.8725,5024.42,3844.0,Mount Stanley,
-78.5255,-85.6171,4918.81,4918.81,Vinson Massif,en:Vinson Massif
56.0578,160.6439,4845.56,4741.02,Klyuchevskaya Sopka,ru:Ключевская Сопка
45.8328,6.8647,4810.72,4696.07,Mont Blanc,fr:Mont Blanc
-4.0833,137.185,4803.99,4803.99,East Carstensz Top,
13.2361,38.3683,4523.76,3972.2,Ras Dashen - West Summit,en:Ras Dashen
-84.3278,166.45,4510.99,2586.68,Mount Kirkpatrick,en:Mount Kirkpatrick
29.5117,57.2711,4489.62,2729.32,Hezar,fa:کوه هزار
-5.7858,145.0325,4474.72,2936.32,Mount Wilhelm,en:Mount Wilhelm
49.8075,86.59,4449.31,3285.53,Gora Belukha,ru:Белуха (гора)
36.5785,-118.2924,4410.8,3064.24,Mount Whitney,en:Mount Whitney
30.9519,51.4361,4402.27,2589.59,Dena,fa:دنا
39.1178,-106.4453,4399.18,2767.28,Mount Elbert,en:Mount_Elbert
46.8529,-121.7604,4392.47,4112.97,Mount Rainier - Columbia Crest,
6.8267,39.8189,4388.19,2521.86,Tullu Dimtu,en:Mount Tullu Dimtu
41.409,-122.1949,4316.58,2977.29,Mount Shasta,en:Mount Shasta
-77.0403,-126.0958,4268.02,2501.24,Mount Sidley,en:Mount Sidley
19.5628,-103.6083,4244.59,2685.41,Nevado de Colima,
43.1843,-109.6543,4212.95,2161.03,Gannett Peak,en:Gannett Peak
15.0433,-91.9036,4212.15,3976.07,Volcán Tajumulco,es:Volcán Tajumulco
46.6175,93.5945,4206.65,1830.05,Sutay Uul,
19.8207,-155.468,4205.02,4205.02,Mauna Kea,en:Mauna Kea
31.06,-7.915,4158.45,3749.84,Jebel Toubkal,
