latitude,longitude,elevation,summit_name,wikipedia
27.9892,86.9256,8737.79,Mount Everest,zh:珠穆朗瑪峰
35.8817,76.5125,8613.95,K2,ur:کے ٹو
30.3758,79.9703,7804.02,Nanda Devi,
29.6325,95.0542,7781.85,,en:Namcha Barwa
29.5967,101.8783,7555.99,Gongga Shan,en:Mount Gongga
42.035,80.1283,7438.95,Pik Pobeda,ky:Жеңиш чокусу
36.4128,87.3831,6981.64,Muztag,zh:木孜塔格山
-32.6533,-70.0125,6961.94,Aconcagua,es:Aconcagua
33.9233,89.2108,6929.02,,
-27.11,-68.5425,6893.05,Ojos del Salado,es:Nevado Ojos del Salado
-9.1208,-77.605,6768.08,Nevado Huascarán,en:Nevado Huascarán
-18.1083,-68.8833,6548.93,Nevado Sajama,es:Nevado Sajama
-15.5461,-72.6603,6417.98,Nevado Coropuna,es:Coropuna
34.7975,99.4625,6309.25,Dradulllungshog,
-1.4675,-78.8175,6266.99,Volcán Chimborazo,es:Chimborazo (volcán)
35.6583,94.2617,6224.02,Yushu Feng,
63.0692,-151.0067,6190.49,Denali,en:Denali
60.5675,-140.4058,5956.1,Mount Logan,en:Mount Logan
-3.0767,37.3542,5895.14,Kilimanjaro,en:Mount Kilimanjaro
38.5006,97.7245,5819.03,Kangze'gyai,zh:疏勒南山
10.8392,-73.6867,5729.94,Pico Cristóbal Colón,es:Pico Cristóbal Colón
43.3542,42.4358,5641.85,Elbrus,ru:Эльбрус
19.0308,-97.27,5636.06,Pico de Orizaba,
35.9558,52.11,5610.15,Damavand,fa:دماوند
43.8017,88.3333,5444.95,Bogda Feng,zh:博格达峰
6.495,-72.2967,5409.9,Ritacuba Blanco,en:Ritacuba Blanco
2.9233,-76.0283,5390.08,Nevado del Huila,es:Nevado del Huila
39.7033,44.2992,5137.1,Mount Ararat,ku:Çiyayê Agirî
0.3858,29.8733,5109.06,Mount Stanley,
-78.535,-85.5708,5018.84,Vinson Massif,
-4.0783,137.1583,4884.12,Carstensz Pyramid,en:Puncak Jaya
56.0578,160.6439,4845.56,Klyuchevskaya Sopka,ru:Ключевская Сопка
