id,latitude,longitude,elevation,MHD
0.0,27.9892,86.9256,8737.79,360410.9
1.0,35.8817,76.5125,8613.95,357847.8
2.0,35.8808,76.5125,8570.56,356945.4
3.0,30.3758,79.9703,7804.02,340609.2
4.0,29.6325,95.0542,7781.85,340125.0
5.0,29.5967,101.8783,7555.99,335152.8
6.0,42.035,80.1283,7438.95,332547.0
7.0,29.595,101.8792,7437.52,332515.0
8.0,42.0356,80.1245,7419.46,332111.0
9.0,29.6392,95.0653,7354.89,330662.7
10.0,36.4128,87.3831,6981.64,322163.2
11.0,36.4125,87.385,6972.91,321961.7
12.0,-32.6533,-70.0125,6961.94,321708.3
13.0,33.9233,89.2108,6929.02,320946.8
14.0,-32.6533,-70.0117,6915.52,320634.0
15.0,-27.11,-68.5425,6893.05,320112.7
16.0,-27.1097,-68.5414,6886.62,319963.3
17.0,-9.1208,-77.605,6768.08,317197.6
18.0,-9.1208,-77.605,6736.75,316462.6
19.0,-18.1083,-68.8833,6548.93,312019.9
20.0,-18.1083,-68.8828,6544.06,311903.9
21.0,-15.5461,-72.6603,6417.98,308884.7
22.0,-15.5458,-72.6608,6405.07,308573.8
23.0,34.7975,99.4625,6309.25,306257.0
24.0,34.7917,99.4675,6281.93,305593.2
25.0,-1.4675,-78.8175,6266.99,305229.6
26.0,-1.4689,-78.8178,6262.51,305120.5
27.0,35.6583,94.2617,6224.02,304181.4
28.0,63.0692,-151.0067,6190.49,303361.0
29.0,63.0694,-151.0061,6179.93,303102.1
30.0,35.6525,94.2505,6179.61,303094.3
31.0,60.5675,-140.4058,5956.1,297562.5
32.0,60.5678,-140.405,5930.7,296927.3
33.0,-3.0767,37.3542,5895.14,296035.8
34.0,-3.0764,37.3536,5886.79,295826.1
35.0,38.5006,97.7245,5819.03,294118.6
36.0,38.5,97.725,5807.96,293838.7
37.0,10.8392,-73.6867,5729.94,291858.4
38.0,10.8389,-73.6861,5697.91,291041.5
39.0,43.3542,42.4358,5641.85,289606.3
40.0,19.0308,-97.27,5636.06,289457.6
41.0,43.3525,42.438,5632.35,289362.3
42.0,35.9558,52.11,5610.15,288791.5
43.0,35.9544,52.1105,5598.75,288497.9
44.0,19.0303,-97.2703,5591.6,288313.7
45.0,43.8017,88.3333,5444.95,284507.8
46.0,6.495,-72.2967,5409.9,283590.6
47.0,2.9233,-76.0283,5390.08,283070.6
48.0,2.9239,-76.0269,5377.59,282742.4
49.0,43.7897,88.4111,5337.77,281693.7
50.0,6.4944,-72.2975,5336.45,281658.8
51.0,39.7033,44.2992,5137.1,276347.9
52.0,39.7022,44.2983,5111.0,275645.0
53.0,0.3858,29.8733,5109.06,275592.7
54.0,0.3856,29.8725,5024.42,273300.3
55.0,-78.535,-85.5708,5018.84,273148.5
56.0,-78.5255,-85.6171,4918.81,270412.8
57.0,-4.0783,137.1583,4884.12,269457.5
58.0,56.0578,160.6439,4845.56,268391.7
59.0,45.8328,6.8647,4810.72,267425.1
60.0,45.8325,6.865,4810.05,267406.5
61.0,-4.0833,137.185,4803.99,267238.0
62.0,-4.7083,140.2892,4757.01,265928.1
63.0,56.0558,160.6417,4752.75,265809.0
64.0,13.2367,38.3683,4550.05,260079.0
65.0,32.3675,50.0867,4547.92,260018.1
66.0,-84.3325,166.4308,4528.11,259451.2
67.0,13.2361,38.3683,4523.76,259326.5
68.0,-84.3278,166.45,4510.99,258960.2
69.0,-5.78,145.03,4508.91,258900.5
70.0,49.805,86.5908,4505.86,258813.0
71.0,29.5117,57.2717,4500.07,258646.6
72.0,29.5117,57.2711,4489.62,258346.1
73.0,-5.7858,145.0325,4474.72,257917.1
74.0,49.8075,86.59,4449.31,257183.7
75.0,36.5783,-118.2925,4418.99,256305.9
76.0,36.5785,-118.2924,4410.8,256068.3
77.0,30.9519,51.4361,4402.27,255820.6
78.0,6.8258,39.8175,4400.09,255757.2
79.0,39.1178,-106.4453,4399.18,255730.8
80.0,39.1175,-106.445,4399.18,255730.8
81.0,46.8525,-121.76,4392.47,255535.7
82.0,46.8529,-121.7604,4392.47,255535.7
83.0,6.8267,39.8189,4388.19,255411.2
84.0,41.4092,-122.195,4316.58,253318.6
85.0,41.409,-122.1949,4316.58,253318.6
86.0,-77.04,-126.0517,4284.88,252386.7
87.0,-77.0403,-126.0958,4268.02,251889.7
88.0,19.5633,-103.6083,4259.88,251649.4
89.0,19.5628,-103.6083,4244.59,251197.3
90.0,15.0433,-91.9033,4219.96,250467.5
91.0,43.1843,-109.6543,4212.95,250259.4
92.0,15.0433,-91.9036,4212.15,250235.6
93.0,43.1842,-109.6542,4207.46,250096.2
94.0,46.6175,93.5945,4206.65,250072.2
95.0,19.8207,-155.468,4205.02,250023.7
96.0,19.8208,-155.4683,4205.02,250023.7
97.0,31.06,-7.915,4166.92,248888.5
98.0,-71.7892,168.7492,4166.01,248861.3
99.0,31.06,-7.915,4158.45,248635.4
100.0,-71.7867,168.7508,4153.54,248488.5
101.0,6.075,116.5583,4094.99,246730.9
102.0,-80.37,77.2542,4092.85,246666.5
103.0,-80.3667,77.3542,4086.32,246469.6
104.0,-46.595,-73.3458,4058.11,245617.4
105.0,6.075,116.5583,4057.26,245591.6
106.0,4.2183,9.1733,4040.12,245072.3
107.0,-8.8925,147.5333,4037.99,245007.7
108.0,4.2181,9.1733,4029.2,244740.9
109.0,-78.0608,162.685,4024.88,244609.7
110.0,-46.5958,-73.3444,4022.63,244541.3
111.0,51.3733,-125.2633,4019.09,244433.7
112.0,-78.0603,162.6883,4001.3,243892.1
113.0,38.9858,-114.3139,3981.6,243291.0
114.0,38.9858,-114.3142,3981.6,243291.0
115.0,53.1108,-119.1567,3959.05,242601.0
116.0,44.995,100.2308,3956.91,242535.5
117.0,44.9947,100.2308,3952.39,242396.9
118.0,23.4708,120.9583,3952.04,242386.2
119.0,51.3756,-125.2667,3940.63,242036.0
120.0,23.47,120.9572,3936.62,241912.8
121.0,38.5317,35.4508,3916.98,241308.6
122.0,53.1108,-119.1569,3915.64,241267.3
123.0,38.5317,35.4469,3890.73,240498.7
124.0,35.3464,-111.678,3850.54,239253.3
125.0,35.3467,-111.6783,3850.54,239253.3
126.0,9.4842,-83.4892,3819.14,238275.8
127.0,9.4842,-83.4886,3812.35,238063.9
128.0,-77.2575,39.155,3810.0,237990.5
129.0,-1.6967,101.2642,3805.12,237838.1
130.0,35.3608,138.7275,3775.86,236921.8
131.0,-1.6975,101.2644,3775.39,236907.1
132.0,35.3606,138.7272,3768.41,236688.0
133.0,-8.41,116.4575,3725.88,235348.6
134.0,-43.595,170.1425,3724.05,235290.8
135.0,24.8714,-100.2328,3720.6,235181.8
136.0,25.3633,-100.5575,3720.08,235165.3
137.0,28.2725,-16.6425,3717.95,235098.0
138.0,28.2728,-16.6425,3705.99,234719.6
139.0,-8.4117,116.4581,3704.66,234677.4
140.0,68.9183,-29.8992,3693.57,234325.9
141.0,68.8397,-29.9211,3691.63,234264.4
142.0,-8.1075,112.9225,3675.89,233764.4
143.0,-8.1078,112.9219,3672.99,233672.2
144.0,15.28,43.9783,3666.13,233453.9
145.0,15.28,43.9778,3664.37,233397.8
146.0,-43.5953,170.1419,3658.09,233197.8
147.0,51.7192,100.5967,3490.87,227805.4
148.0,-29.4683,29.2692,3482.04,227517.1
149.0,51.7189,100.5972,3481.97,227514.8
150.0,-29.4683,29.2692,3480.01,227450.8
151.0,37.0533,-3.3117,3478.99,227417.4
152.0,-3.385,120.0242,3478.07,227387.4
153.0,37.0533,-3.3117,3472.3,227198.7
154.0,3.7975,97.2192,3465.88,226988.5
155.0,3.7975,97.2189,3459.96,226794.6
156.0,19.7939,18.5522,3446.97,226368.5
157.0,19.7925,18.5467,3444.85,226298.8
158.0,-3.385,120.0242,3432.75,225901.1
159.0,-7.2392,109.22,3428.09,225747.7
160.0,-72.1267,26.0783,3425.04,225647.2
161.0,-7.2386,109.22,3424.58,225632.1
162.0,42.6308,0.6567,3404.01,224953.4
163.0,66.9356,-36.7856,3394.74,224646.9
164.0,66.935,-36.7875,3390.9,224519.8
165.0,42.6311,0.6564,3364.9,223657.4
166.0,-73.4558,61.4642,3354.93,223325.8
167.0,23.2058,-104.9442,3351.89,223224.6
168.0,23.2061,-104.9442,3334.75,222653.1
169.0,37.755,14.9953,3323.78,222286.6
170.0,37.75,14.995,3322.93,222258.2
171.0,36.2808,59.0492,3314.09,221962.4
172.0,36.2808,59.0494,3314.01,221959.7
173.0,25.9558,-107.0475,3303.12,221594.7
174.0,25.9561,-107.0478,3299.94,221488.0
175.0,8.8753,34.8153,3276.06,220685.1
176.0,-75.0142,123.5675,3265.93,220343.7
177.0,72.5275,-37.4533,3237.89,219395.8
178.0,72.5531,-37.58,3230.71,219152.4
179.0,-69.7981,-64.4544,3212.04,218518.2
180.0,-73.4622,61.8783,3211.2,218489.6
181.0,-71.3583,-63.4483,3183.94,217560.3
182.0,-4.0158,103.1283,3172.97,217185.2
183.0,-4.0156,103.1281,3154.84,216563.8
184.0,-71.8758,6.6617,3143.71,216181.4
185.0,-71.8764,6.67,3143.5,216174.2
186.0,-88.1517,-171.0383,3142.79,216149.8
187.0,22.3033,103.775,3141.88,216118.5
188.0,-71.3606,-63.4275,3125.06,215539.2
189.0,22.3036,103.7755,3113.48,215139.5
190.0,31.4483,110.3042,3105.0,214846.3
191.0,31.4403,110.3072,3103.07,214779.6
192.0,19.0233,-70.9975,3097.99,214603.7
193.0,30.9925,-115.375,3094.94,214498.0
194.0,19.0319,-71.0053,3093.98,214464.8
195.0,28.2525,-107.595,3080.92,214011.6
196.0,28.2528,-107.5944,3080.65,214002.3
197.0,21.2336,93.903,3077.34,213887.3
198.0,56.8642,117.575,3072.08,213704.4
199.0,-21.0992,55.48,3070.86,213661.9
200.0,36.5933,30.15,3069.95,213630.3
