latitude_O,longitude_O,elevation_O,prominence_O,latitude_T,longitude_T,elevation_T,prominence_T,distance
27.9892,86.9256,8737.79,8737.79,23.9639,86.1286,1380.91,1035.44,454622.8382498881
27.9892,86.9256,8737.79,8737.79,25.4617,90.3222,1418.95,1073.83,439025.5301109827
27.7028,88.1475,8564.29,3900.82,23.9639,86.1286,1380.91,1035.44,462219.2711701827
27.7028,88.1475,8564.29,3900.82,25.5308,91.8497,1962.31,1368.31,440163.69449035777
27.8914,87.0886,8242.92,2151.02,23.9639,86.1286,1380.91,1035.44,447138.4526235508
27.8914,87.0886,8242.92,2151.02,25.4617,90.3222,1418.95,1073.83,419743.0434612207
28.6981,83.4894,8135.91,3328.8,30.3133,79.7775,7112.27,1590.72,401576.79215523467
35.2386,74.5894,8104.31,4592.91,34.0386,69.9019,4754.71,2297.78,449064.9351247275
36.2544,71.8417,7695.1,3904.74,38.4428,67.3525,3916.15,1325.14,465404.4301601847
36.2544,71.8417,7695.1,3904.74,39.1981,68.1953,5457.35,2235.05,458160.7976034698
36.2544,71.8417,7695.1,3904.74,39.0744,68.1456,4869.08,1063.14,451772.1048159871
36.2544,71.8417,7695.1,3904.74,39.1503,68.3186,5300.24,1259.53,446869.18504958646
36.2544,71.8417,7695.1,3904.74,38.3844,67.5581,3805.9,1392.14,446669.1952128187
36.2544,71.8417,7695.1,3904.74,39.0728,68.5625,4864.64,1085.84,425999.1589322052
36.2544,71.8417,7695.1,3904.74,39.1756,68.98,4754.96,1406.08,410889.3042918862
36.2544,71.8417,7695.1,3904.74,39.0933,69.0186,4632.23,1060.57,401674.8606885912
38.5944,75.315,7597.78,3528.51,36.5219,80.3145,5464.83,2335.93,497208.7436829388
36.4328,71.83,7460.3,1985.4,38.4428,67.3525,3916.15,1325.14,454045.1562812435
36.4328,71.83,7460.3,1985.4,39.1981,68.1953,5457.35,2235.05,443194.2176404128
36.4328,71.83,7460.3,1985.4,39.0744,68.1456,4869.08,1063.14,437191.7702686084
36.4328,71.83,7460.3,1985.4,38.3844,67.5581,3805.9,1392.14,435196.7652397521
36.4328,71.83,7460.3,1985.4,39.1503,68.3186,5300.24,1259.53,431799.11698480434
36.4328,71.83,7460.3,1985.4,39.0728,68.5625,4864.64,1085.84,410668.8403818734
42.0356,80.1245,7419.46,4126.96,43.8364,84.6028,4881.46,1301.26,415853.6304028782
36.3761,71.8975,7383.07,1073.05,38.4428,67.3525,3916.15,1325.14,462470.17769797466
36.3761,71.8975,7383.07,1073.05,38.3844,67.5581,3805.9,1392.14,443636.1395755388
29.6392,95.0653,7354.89,3665.94,25.5975,94.0664,3019.2,1560.96,460058.0976429361
29.6392,95.0653,7354.89,3665.94,25.74,95.037,3833.69,2883.6,433580.0012121904
29.6392,95.0653,7354.89,3665.94,25.8236,94.5992,2660.54,1111.95,426746.4062659159
27.7769,86.9811,7280.48,1263.51,23.9639,86.1286,1380.91,1035.44,432474.9583711671
29.8186,94.9608,7144.14,2786.44,25.74,95.037,3833.69,2883.6,453581.3196158454
29.8186,94.9608,7144.14,2786.44,26.1942,94.9145,2693.91,1214.42,403040.3187066647
36.5556,71.9894,7063.19,1565.27,39.1981,68.1953,5457.35,2235.05,444027.652967282
36.5556,71.9894,7063.19,1565.27,39.1503,68.3186,5300.24,1259.53,432492.1723899344
36.5556,71.9894,7063.19,1565.27,39.0728,68.5625,4864.64,1085.84,410991.5116145804
42.2111,80.1761,7053.61,1783.99,43.8364,84.6028,4881.46,1301.26,402608.8710793631
27.8725,92.5297,7029.02,2168.35,27.0397,96.875,3349.98,1137.79,438610.6664151422
27.8725,92.5297,7029.02,2168.35,27.7014,96.9442,4514.76,1574.92,434659.1242978375
27.8725,92.5297,7029.02,2168.35,29.1669,96.7231,6817.01,2406.15,434213.6495963057
27.8725,92.5297,7029.02,2168.35,28.2647,96.8825,5191.24,1129.34,429278.9212975591
27.8725,92.5297,7029.02,2168.35,27.2094,96.6342,2597.3,1100.61,411320.525523974
27.9714,86.4305,6974.27,1426.41,23.9639,86.1286,1380.91,1035.44,446633.6147581401
-32.6533,-70.0117,6915.52,6915.52,-31.9878,-64.9364,2786.06,2224.98,482570.15388761513
27.9372,92.6664,6913.09,1612.12,27.0397,96.875,3349.98,1137.79,426942.2488759895
27.9372,92.6664,6913.09,1612.12,27.7014,96.9442,4514.76,1574.92,421487.8681093317
27.9372,92.6664,6913.09,1612.12,29.1669,96.7231,6817.01,2406.15,419123.6055929631
27.9372,92.6664,6913.09,1612.12,28.2647,96.8825,5191.24,1129.34,415123.7207523272
27.9561,86.3367,6909.34,1400.15,23.9639,86.1286,1380.91,1035.44,444399.1036912788
28.0619,92.6636,6853.93,1233.62,27.0397,96.875,3349.98,1137.79,430431.5764177467
28.0619,92.6636,6853.93,1233.62,29.1669,96.7231,6817.01,2406.15,414846.30655288073
28.0619,92.6636,6853.93,1233.62,27.2094,96.6342,2597.3,1100.61,402440.76899906574
36.1786,70.9831,6849.26,2876.17,39.1981,68.1953,5457.35,2235.05,415768.3397502151
36.1786,70.9831,6849.26,2876.17,38.4428,67.3525,3916.15,1325.14,407966.0476387096
36.1786,70.9831,6849.26,2876.17,39.0744,68.1456,4869.08,1063.14,407536.9052434408
36.1786,70.9831,6849.26,2876.17,39.1503,68.3186,5300.24,1259.53,405163.88188876456
27.7547,86.5733,6848.81,1200.3,23.9639,86.1286,1380.91,1035.44,423858.2029679686
27.91,92.6264,6848.49,1192.39,27.0397,96.875,3349.98,1137.79,430139.23384836025
27.91,92.6264,6848.49,1192.39,27.7014,96.9442,4514.76,1574.92,425290.9831349327
27.91,92.6264,6848.49,1192.39,29.1669,96.7231,6817.01,2406.15,423853.9168801827
27.91,92.6264,6848.49,1192.39,28.2647,96.8825,5191.24,1129.34,419357.7922222085
27.91,92.6264,6848.49,1192.39,27.2094,96.6342,2597.3,1100.61,402664.99015020666
27.8581,86.5536,6819.26,1096.98,23.9639,86.1286,1380.91,1035.44,435095.0807188274
29.1669,96.7231,6817.01,2406.15,28.1767,92.7672,6619.64,1078.79,401312.3808607567
29.8325,94.8672,6750.61,1371.37,25.74,95.037,3833.69,2883.6,455371.24874440295
29.8325,94.8672,6750.61,1371.37,26.1942,94.9145,2693.91,1214.42,404586.9402096384
27.7556,86.8225,6687.89,1040.85,23.9639,86.1286,1380.91,1035.44,427292.84468873113
27.5781,88.2164,6630.67,1685.55,25.5308,91.8497,1962.31,1368.31,427072.462368604
28.1767,92.7672,6619.64,1078.79,27.0397,96.875,3349.98,1137.79,424014.23203082266
28.1767,92.7672,6619.64,1078.79,27.7014,96.9442,4514.76,1574.92,413694.1508700141
28.1767,92.7672,6619.64,1078.79,28.2647,96.8825,5191.24,1129.34,403305.8056522546
36.2944,78.7547,6443.32,1171.49,41.0594,77.6839,5875.08,2572.04,537921.9101248963
36.2944,78.7547,6443.32,1171.49,41.0036,77.6167,5864.22,1348.35,532867.782566121
36.2944,78.7547,6443.32,1171.49,40.0297,78.4433,2700.79,1116.59,416236.6464845192
36.6892,77.7342,6436.98,1499.99,41.0594,77.6839,5875.08,2572.04,485963.3202661626
36.6892,77.7342,6436.98,1499.99,41.0281,77.3353,5749.17,1140.97,483696.4641336344
36.6892,77.7342,6436.98,1499.99,41.0036,77.6167,5864.22,1348.35,479846.92169065855
36.6892,77.7342,6436.98,1499.99,40.4494,75.0872,5025.18,1190.04,477199.0406311389
36.6892,77.7342,6436.98,1499.99,40.7906,76.6681,4875.68,1238.19,465322.15727944527
36.6892,77.7342,6436.98,1499.99,40.685,77.9506,4048.94,1121.26,444708.83114501665
36.6892,77.7342,6436.98,1499.99,40.3206,78.3875,3084.68,1072.3,407771.18781795574
-32.0828,-70.0181,6377.33,1202.23,-29.0139,-67.8264,6100.21,2777.82,400593.6938962164
36.4844,77.4847,6359.64,1176.21,41.0594,77.6839,5875.08,2572.04,509009.12211888237
36.4844,77.4847,6359.64,1176.21,41.0281,77.3353,5749.17,1140.97,505401.9527895373
36.4844,77.4847,6359.64,1176.21,41.0036,77.6167,5864.22,1348.35,502642.05982928467
36.4844,77.4847,6359.64,1176.21,40.685,77.9506,4048.94,1121.26,468835.0937169846
36.4844,77.4847,6359.64,1176.21,40.0297,78.4433,2700.79,1116.59,402998.72820139746
36.2683,78.8139,6307.91,1002.17,41.0036,77.6167,5864.22,1348.35,536694.0075082714
36.2683,78.8139,6307.91,1002.17,40.0297,78.4433,2700.79,1116.59,419500.7208634371
29.6178,96.0558,6292.68,1621.02,25.74,95.037,3833.69,2883.6,442700.1553352926
36.4783,76.8606,6284.57,1407.62,40.0297,78.4433,2700.79,1116.59,418359.83395805384
36.5378,76.5786,6277.34,1371.03,41.0281,77.3353,5749.17,1140.97,503581.57433054544
37.9136,87.3892,6262.6,2048.13,41.4725,88.2547,2740.4,1410.43,402593.95069756696
36.6761,78.3578,6201.24,1300.3,40.4494,75.0872,5025.18,1190.04,506765.14039512735
36.6761,78.3578,6201.24,1300.3,41.0281,77.3353,5749.17,1140.97,491942.4705772024
36.6761,78.3578,6201.24,1300.3,41.0594,77.6839,5875.08,2572.04,490875.02910644066
36.6761,78.3578,6201.24,1300.3,41.0036,77.6167,5864.22,1348.35,485451.8958643344
36.6761,78.3578,6201.24,1300.3,40.7906,76.6681,4875.68,1238.19,480385.05399452866
36.6761,78.3578,6201.24,1300.3,39.885,75.2064,4352.07,1301.64,450463.8624344921
36.6761,78.3578,6201.24,1300.3,40.685,77.9506,4048.94,1121.26,447166.62672434986
36.6761,78.3578,6201.24,1300.3,40.3206,78.3875,3084.68,1072.3,405257.95330048184
63.0694,-151.0061,6179.93,6179.93,61.7317,-143.4383,4987.8,3588.03,416961.9923425355
63.0694,-151.0061,6179.93,6179.93,62.3775,-143.1,2213.86,1122.81,409889.7099277742
36.4131,82.3147,6118.83,1462.27,37.8264,86.5122,5367.09,1144.25,403935.33341978077
-29.0139,-67.8264,6100.21,2777.82,-32.3039,-69.6806,5662.55,1619.71,406533.7590150981
36.6097,76.7411,6092.83,1075.08,41.0594,77.6839,5875.08,2572.04,501467.621766536
36.6097,76.7411,6092.83,1075.08,41.0036,77.6167,5864.22,1348.35,494426.5980436819
36.6097,76.7411,6092.83,1075.08,41.0281,77.3353,5749.17,1140.97,493989.1198744499
36.6097,76.7411,6092.83,1075.08,40.3206,78.3875,3084.68,1072.3,436797.1299645552
36.6097,76.7411,6092.83,1075.08,40.0297,78.4433,2700.79,1116.59,408228.2273982001
36.48,82.5483,6077.79,1147.63,37.795,86.8108,5819.68,1357.64,405097.9023623792
36.6497,78.0708,6044.48,1103.99,41.0594,77.6839,5875.08,2572.04,491477.57673033455
36.6497,78.0708,6044.48,1103.99,41.0281,77.3353,5749.17,1140.97,490999.5652209714
36.6497,78.0708,6044.48,1103.99,41.0036,77.6167,5864.22,1348.35,485724.58183206274
36.6497,78.0708,6044.48,1103.99,40.7906,76.6681,4875.68,1238.19,476236.3184400235
36.6497,78.0708,6044.48,1103.99,40.3206,78.3875,3084.68,1072.3,409114.062041228
-33.0158,-69.455,5955.58,1437.16,-31.9878,-64.9364,2786.06,2224.98,438853.5530920341
-33.0158,-69.455,5955.58,1437.16,-29.6322,-67.6153,3389.8,1344.66,414817.05480847973
60.5678,-140.405,5930.7,5224.11,61.4375,-147.7517,3985.53,3253.53,407410.73658162565
41.0594,77.6839,5875.08,2572.04,36.9447,77.7306,5368.39,1225.78,457551.3224961044
41.0594,77.6839,5875.08,2572.04,36.9617,77.5408,5039.05,1222.74,455810.74589680624
41.0594,77.6839,5875.08,2572.04,37.0103,77.2261,5298.15,1187.19,451969.9872762713
41.0594,77.6839,5875.08,2572.04,37.1406,76.8453,4242.05,1045.32,441711.45903931285
41.0594,77.6839,5875.08,2572.04,37.2483,76.4483,5382.5,1405.04,436947.8765229934
41.0594,77.6839,5875.08,2572.04,37.5086,75.8644,5629.14,1421.11,424723.3862604164
41.0036,77.6167,5864.22,1348.35,36.9447,77.7306,5368.39,1225.78,451436.13227863976
41.0036,77.6167,5864.22,1348.35,36.9617,77.5408,5039.05,1222.74,449486.38277865684
41.0036,77.6167,5864.22,1348.35,37.0103,77.2261,5298.15,1187.19,445313.7522121366
41.0036,77.6167,5864.22,1348.35,37.1406,76.8453,4242.05,1045.32,434671.2501367375
41.0036,77.6167,5864.22,1348.35,37.2483,76.4483,5382.5,1405.04,429548.3666113437
39.2514,93.6964,5826.41,2525.67,43.3817,93.3558,4312.23,2097.5,460146.98256232654
39.2514,93.6964,5826.41,2525.67,43.0742,94.3472,4881.32,3238.84,428548.5110065802
37.795,86.8108,5819.68,1357.64,41.4725,88.2547,2740.4,1410.43,427185.5985098061
36.1525,70.6697,5803.94,1365.45,39.1981,68.1953,5457.35,2235.05,402588.19490659126
29.4678,96.0489,5799.69,1117.93,25.74,95.037,3833.69,2883.6,426328.6623884506
29.3986,94.8992,5772.87,1538.19,25.74,95.037,3833.69,2883.6,407044.11446490383
28.2628,92.9583,5752.09,1077.32,27.0397,96.875,3349.98,1137.79,409019.6068053236
41.0281,77.3353,5749.17,1140.97,36.9447,77.7306,5368.39,1225.78,455335.183810619
41.0281,77.3353,5749.17,1140.97,36.9617,77.5408,5039.05,1222.74,452511.03574051335
41.0281,77.3353,5749.17,1140.97,37.0103,77.2261,5298.15,1187.19,446858.23855752556
41.0281,77.3353,5749.17,1140.97,37.1406,76.8453,4242.05,1045.32,434331.7118728548
