latitude,longitude,jut_m,jut_height_m,jut_angle_deg,jut_base_latitude,jut_base_longitude,dominance_m,dominance_base_latitude,dominance_base_longitude,elevation_m,prominence_m,key_col_latitude,key_col_longitude
28.6981,83.4894,3148.635225,4447.998096,45.06243779,28.69475338,83.44522786,7211.452064,28.19449507,83.65802725,8135.91,3328.8,32.1289,85.7236
35.2386,74.5894,3110.469562,4330.325888,45.91423605,35.22345284,74.63157562,6970.133978,35.41163642,74.34574319,8104.31,4592.91,34.2789,75.4722
36.1425,74.4878,2798.5941,5487.225659,30.66515307,36.22577956,74.48722784,6382.389551,35.82234617,74.56484228,7649.2,2661.09,36.06,75.2006
28.5508,84.5592,2506.329502,3790.607329,41.39105171,28.54599237,84.60297659,7428.640544,27.84827088,84.55850999,8043.81,2983.69,28.6622,84.5247
35.8808,76.5125,2495.895504,3505.373939,45.3994869,35.8506431,76.52379842,5795.972453,35.44882667,75.71612315,8570.56,3973.94,29.3114,83.9689
30.3758,79.9703,2408.308978,3523.376741,43.11955852,30.37497575,79.93118664,7386.795016,30.33435843,79.45212659,7804.02,3128.3,30.6864,80.6639
60.5678,-140.405,2398.583178,3517.228,42.99642404,60.53761822,-140.3738994,5641.429845,60.1702971,-141.1508523,5930.7,5224.11,62.9225,-143.6828
38.5944,75.315,2252.971825,3969.37203,34.58226861,38.64233751,75.29166918,5881.957549,39.07649328,75.76220673,7597.78,3528.51,38.2758,74.9164
27.9892,86.9256,2190.411922,3275.895345,41.96259187,27.97358587,86.95808977,8156.099135,27.43513569,87.12867985,8737.79,8737.79,0,0
29.6392,95.0653,2184.504952,4552.70606,28.6740128,29.71417503,95.06950597,6618.556994,29.11293261,94.96009117,7354.89,3665.94,28.9064,94.1622
36.5122,74.5186,2176.35151,3538.025464,37.96148824,36.47202125,74.51165053,6021.860069,35.86889237,74.51596244,7775.25,3100.32,37.0061,74.8544
63.0694,-151.0061,2124.556182,4605.476543,27.47172501,63.14740378,-151.0399561,5781.638184,62.71332437,-150.2680223,6179.93,6179.93,0,0
38.9431,72.0155,2090.108395,2562.019164,54.66704998,38.92934924,72.00437423,5369.390322,39.2050422,71.32201394,7408.46,3315.94,39.2578,73.3883
27.7028,88.1475,2058.608982,3350.123159,37.91469441,27.6652077,88.15750885,7928.824375,27.10977936,88.34130416,8564.29,3900.82,28.8783,87.8508
31.9019,78.7425,2042.567868,3964.952364,31.00786373,31.84345175,78.73004927,4836.937885,31.55913496,77.82185252,6739.85,1906.25,33.1436,78.3569
62.2156,-144.1306,2028.796368,2821.095276,45.98451399,62.19427779,-144.16397,4448.159135,61.64146804,-144.5130668,4972.72,2374.73,62.1133,-144.0733
36.2544,71.8417,2004.360771,3187.156618,38.96804136,36.23513551,71.80511641,6084.762671,35.90257919,71.8102368,7695.1,3904.74,36.8989,73.4006
28.4383,98.6825,1961.270316,2808.98491,44.28382324,28.41178406,98.68110423,4967.8142,28.04762052,98.59314767,6636.89,2132.29,30.6653,97.225
33.9822,76.0244,1876.571046,2941.603848,39.63848988,33.95332486,76.04049331,5557.214568,33.36690464,75.74809168,7072.66,2340.66,31.3522,80.5144
42.0356,80.1245,1875.838424,2722.219606,43.55765626,42.01309942,80.14085342,5822.743734,41.39838227,80.04302689,7419.46,4126.96,41.1353,76.5883
53.1108,-119.1569,1870.2361,2901.082353,40.14081731,53.08420647,-119.1827317,3124.481027,52.98287651,-119.5053167,3915.64,3195.2,54.2744,-122.63
58.9064,-137.5261,1846.568501,3201.136849,35.2291323,58.87860955,-137.5835525,4625.899749,58.78455594,-137.8320265,4666.66,3971.28,59.2183,-137.2478
38.2769,75.1136,1815.00383,2339.468879,50.87932266,38.2814079,75.13472201,5252.109381,38.81716313,76.09439223,7484.46,2671.71,38.3192,75.438
-32.6533,-70.0117,1801.211668,2595.164795,43.95271408,-32.67409095,-69.99673597,5971.71494,-32.48571423,-70.93296016,6915.52,6915.52,0,0
27.8725,92.5297,1788.600441,4079.383131,26.0049472,27.81046528,92.57775904,6323.016992,27.550942,92.97580254,7029.02,2168.35,28.3661,91.9608
36.325,75.1878,1765.993563,2670.847428,41.39229219,36.29846674,75.18080558,6141.198806,35.85029724,74.73829547,7864.82,2492.21,36.0314,75.8808
-46.5958,-73.3444,1765.693578,3335.690364,31.96045185,-46.54767219,-73.34870962,3991.014752,-46.37619728,-73.25509367,4022.63,3661.46,-46.6375,-72.8061
61.7317,-143.4383,1752.346589,3337.901949,31.66719583,61.71099764,-143.5304895,4642.623918,61.48327472,-144.1888648,4987.8,3588.03,61.6431,-141.9428
45.8328,6.8647,1736.69371,3295.118651,31.8063802,45.80381025,6.91890512,4351.689909,45.65855267,6.427346996,4810.72,4696.07,60.905,36.7875
29.595,101.8792,1679.668644,3354.257003,30.05011452,29.64707088,101.8734358,6394.325693,29.49318947,102.1763477,7437.52,3526.77,30.5422,101.5783
29.1669,96.7231,1646.98587,3696.837447,26.45610839,29.11077665,96.76435742,5386.223423,28.55488569,95.83443293,6817.01,2406.15,29.1878,96.8094
6.0750,116.5583,1644.847236,2872.667083,34.93071118,6.064947198,116.5226224,3984.446213,6.181368859,116.3717055,4057.26,4057.26,-5,133
31.1064,102.9019,1631.88026,2631.981296,38.31757328,31.10403497,102.8682416,5247.365756,30.66098587,103.4398396,6040.85,2353.41,32.3978,102.1758
45.9425,7.8703,1594.795302,2437.602676,40.86261121,45.94852885,7.905524796,4286.955504,45.99711423,8.282918539,4542.39,2067.07,45.8686,7.1708
-69.1939,-70.7028,1594.654451,2249.776093,45.13783872,-69.17955797,-70.66292658,3003.776353,-69.26175382,-70.11181016,3050.99,3004.63,-72.7189,-69.5989
-4.7083,140.2897,1589.374803,2691.002055,36.20141787,-4.736049922,140.2703171,4482.574555,-4.979403533,140.0318144,4698.61,2697.58,-3.7783,138.7603
