latitude,longitude,elevation,name_local,name_en,wikipedia
27.9892,86.9256,8737.79,珠穆朗玛峰 ཇོ་མོ་གླང་མ། सगरमाथा,Mount Everest,zh:珠穆朗瑪峰
35.8808,76.5125,8570.56,کے ٹو,K2,ur:کے ٹو
28.6981,83.4894,8135.91,Dhaulagiri,Dhaulagiri,en:Dhaulagiri
30.3758,79.9703,7804.02,Nanda Devi,Nanda Devi,
29.595,101.8792,7437.52,贡嘎山,Mount Gongga,en:Mount Gongga
42.0356,80.1245,7419.46,Жеңиш чокусу - 托木尔峰 - تۆمۈر چوققىسى,Jengish Chokusu,ky:Жеңиш чокусу
29.6392,95.0653,7354.89,,,
36.4128,87.3831,6981.64,木孜塔格山,Ulugh Muztagh,zh:木孜塔格山
-32.6533,-70.0117,6915.52,Cerro Aconcagua,Aconcagua,es:Aconcagua
-27.1097,-68.5414,6886.62,Nevado Ojos del Salado,,es:Nevado Ojos del Salado
36.0242,90.8661,6834.64,布喀達坂峰,Bukadaban Feng,zh:布喀達坂峰
-9.1208,-77.605,6736.75,Huascarán Sur,,en:Nevado Huascarán
33.4964,91.1681,6590.63,各拉丹冬峰,Geladaindong Peak,zh:各拉丹冬峰
-18.1083,-68.8828,6544.06,Nevado Sajama,Nevado Sajama,es:Nevado Sajama
-15.5461,-72.6603,6417.98,Volcán Coropuna,,es:Coropuna
34.7975,99.4625,6309.25,Dradulllungshog,,
-1.4689,-78.8178,6262.51,Chimborazo,,es:Chimborazo (volcán)
63.0694,-151.0061,6179.93,Denali,Denali,en:Denali
35.6525,94.2505,6179.61,玉珠峰,Yuzhu Peak,
60.5678,-140.405,5930.7,Mount Logan,,en:Mount Logan
-3.0764,37.3536,5886.79,Uhuru Peak,Uhuru Peak,en:Mount Kilimanjaro
-12.2592,-75.9592,5870.53,Nevado Ticlla,,en:Ticlla (mountain)
39.2514,93.6964,5826.41,Altun Shan,,
38.5006,97.7245,5819.03,疏勒南山,Mount Shulenan,zh:疏勒南山
10.8389,-73.6861,5697.91,Pico Cristóbal Colón,,es:Pico Cristóbal Colón
43.3525,42.438,5632.35,Эльбрус Западный,Mount Elbrus (West Summit),ru:Эльбрус
35.9544,52.1105,5598.75,دماوند,Damavand,fa:دماوند
19.0303,-97.2703,5591.6,Pico de Orizaba,,
2.9239,-76.0269,5377.59,,,
43.7897,88.4111,5337.77,,,
6.4944,-72.2975,5336.45,Ritacuba Blanco,,en:Ritacuba Blanco
37.6928,101.5061,5237.24,岗什卡,Gangshika,en:Gangshiqia Peak
39.7022,44.2983,5111.0,Ağrı Dağı,Mount Ararat,ku:Çiyayê Agirî
0.3856,29.8725,5024.42,Margherita,Margherita Peak (Mount Stanley),
-78.5255,-85.6171,4918.81,Vinson Massif,,en:Vinson Massif
56.0578,160.6439,4845.56,Ключевская Сопка,Klyuchevskaya Sopka,ru:Ключевская Сопка
45.8328,6.8647,4810.72,Mont Blanc - Monte Bianco,,fr:Mont Blanc
38.2669,47.8367,4805.46,سبلان,Sabalan,fa:سبلان
-4.0833,137.185,4803.99,,,
13.2361,38.3683,4523.76,Ras Dashen,,en:Ras Dashen
-84.3278,166.45,4510.99,,,
29.5117,57.2711,4489.62,کوه هزار,Hezar,fa:کوه هزار
-5.7858,145.0325,4474.72,,,
49.8075,86.59,4449.31,Белуха,Belukha,ru:Белуха (гора)
36.5785,-118.2924,4410.8,Mount Whitney,,en:Mount Whitney
30.9519,51.4361,4402.27,دنا,Dena,fa:دنا
39.1178,-106.4453,4399.18,Mount Elbert,,en:Mount_Elbert
46.8529,-121.7604,4392.47,Columbia Crest,,
6.8267,39.8189,4388.19,Tullu Dimtu,,en:Mount Tullu Dimtu
41.409,-122.1949,4316.58,Mount Shasta,,en:Mount Shasta
-77.0403,-126.0958,4268.02,Mount Sidley,,en:Mount Sidley
19.5628,-103.6083,4244.59,Nevado de Colima,,
43.1843,-109.6543,4212.95,Gannett Peak,,en:Gannett Peak
15.0433,-91.9036,4212.15,Tajumulco,,es:Volcán Tajumulco
46.6175,93.5945,4206.65,Сутай хайрхан уул,Sutai Mountain,
19.8207,-155.468,4205.02,Mauna Kea,,en:Mauna Kea
31.06,-7.915,4158.45,Jabal Tūbqāl,Toubkal,
-71.7867,168.7508,4153.54,Mount Minto,,
-80.3667,77.3542,4086.32,Dome Argus,,en:Dome A
6.075,116.5583,4057.26,Gunung Kinabalu,Mount Kinabalu,en:Mount Kinabalu
